,Mutation,Brca_odds,Brca_pvalue
5871,NCOA5,3.5555555555555554,0.3385879483889501
5872,NCOA6,0.43636363636363634,0.44666744921718116
5873,NCOA7,1.1428571428571428,1.0
5874,NCOR1,1.1454545454545455,1.0
5875,NCOR2,1.7941176470588236,0.5123231948625586
5876,NCR3LG1,inf,0.46721311475409544
5877,NCSTN,inf,0.46721311475409544
5878,NDC1,inf,0.2162308630266921
5879,NDFIP2,0.0,1.0
5880,NDN,inf,0.2162308630266921
5881,NDNF,0.5625,1.0
5882,NDP,0.0,1.0
5883,NDRG1,inf,0.2162308630266921
5884,NDRG3,inf,0.46721311475409544
5885,NDST1,1.1428571428571428,1.0
5886,NDST2,0.0,1.0
5887,NDST3,inf,0.46721311475409544
5888,NDST4,inf,0.46721311475409544
5889,NDUFA11,inf,0.46721311475409544
5890,NDUFA9,inf,0.46721311475409544
5891,NDUFAB1,inf,0.46721311475409544
5892,NDUFAF1,inf,0.46721311475409544
5893,NDUFAF4,1.1428571428571428,1.0
5894,NDUFB10,0.0,1.0
5895,NDUFB11,inf,0.46721311475409544
5896,NDUFB5,inf,0.46721311475409544
5897,NDUFB6,0.0,1.0
5898,NDUFS1,0.0,1.0
5899,NDUFS5,inf,0.46721311475409544
5900,NDUFV1,0.0,0.498035496545188
5901,NEB,1.411764705882353,0.7535405882497154
5902,NEBL,inf,0.46721311475409544
5903,NECAB1,inf,0.46721311475409544
5904,NECAB3,inf,0.46721311475409544
5905,NEDD4,1.1428571428571428,1.0
5906,NEDD4L,0.0,1.0
5907,NEFH,2.327272727272727,0.5984283972361519
5908,NEFM,0.0,1.0
5909,NEGR1,inf,0.46721311475409544
5910,NEIL1,inf,0.46721311475409544
5911,NEIL3,0.0,1.0
5912,NEK1,1.1428571428571428,1.0
5913,NEK10,0.5625,1.0
5914,NEK2,1.1428571428571428,1.0
5915,NEK4,inf,0.46721311475409544
5916,NEK5,inf,0.46721311475409544
5917,NEK6,inf,0.46721311475409544
5918,NEK8,inf,0.46721311475409544
5919,NEK9,0.0,1.0
5920,NELFA,0.0,1.0
5921,NELFB,0.0,0.498035496545188
5922,NELFE,inf,0.46721311475409544
5923,NELL1,inf,0.46721311475409544
5924,NELL2,inf,0.2162308630266921
5925,NENF,inf,0.46721311475409544
5926,NEO1,1.1428571428571428,1.0
5927,NES,2.327272727272727,0.5984283972361519
5928,NETO1,inf,0.46721311475409544
5929,NETO2,inf,0.46721311475409544
5930,NEU4,inf,0.46721311475409544
5931,NEURL1,0.0,1.0
5932,NEURL1B,0.5625,1.0
5933,NEURL4,1.1428571428571428,1.0
5934,NEUROD2,0.0,1.0
5935,NEUROD4,inf,0.46721311475409544
5936,NEUROD6,inf,0.46721311475409544
5937,NEUROG3,inf,0.46721311475409544
5938,NEXN,inf,0.46721311475409544
5939,NF1,inf,0.46721311475409544
5940,NFASC,1.1428571428571428,1.0
5941,NFAT5,3.5555555555555554,0.3385879483889501
5942,NFATC2,1.1428571428571428,1.0
5943,NFATC2IP,inf,0.46721311475409544
5944,NFATC3,inf,0.46721311475409544
5945,NFATC4,inf,0.46721311475409544
5946,NFE2,inf,0.46721311475409544
5947,NFE2L1,inf,0.46721311475409544
5948,NFE2L2,inf,0.46721311475409544
5949,NFE2L3,1.1428571428571428,1.0
5950,NFIA,inf,0.46721311475409544
5951,NFIB,1.1428571428571428,1.0
5952,NFIC,inf,0.2162308630266921
5953,NFIX,1.1428571428571428,1.0
5954,NFKB1,0.0,1.0
5955,NFKB2,0.0,1.0
5956,NFKBID,inf,0.09910581222056716
5957,NFKBIE,1.1428571428571428,1.0
5958,NFKBIL1,0.0,1.0
5959,NFKBIZ,inf,0.46721311475409544
5960,NFRKB,inf,0.46721311475409544
5961,NFS1,inf,0.46721311475409544
5962,NFU1,1.1428571428571428,1.0
5963,NFX1,0.0,0.498035496545188
5964,NFXL1,inf,0.46721311475409544
5965,NGDN,0.0,1.0
5966,NGEF,1.1428571428571428,1.0
5967,NGLY1,0.0,1.0
5968,NHLH1,2.327272727272727,0.5984283972361519
5969,NHLRC2,1.1428571428571428,1.0
5970,NHS,inf,0.09910581222056716
5971,NHSL1,1.1454545454545455,1.0
5972,NHSL2,0.5625,1.0
5973,NID1,inf,0.2162308630266921
5974,NID2,1.1428571428571428,1.0
5975,NIF3L1,inf,0.46721311475409544
5976,NIM1K,inf,0.46721311475409544
5977,NIN,1.1428571428571428,1.0
5978,NINL,1.1428571428571428,1.0
5979,NIPAL1,inf,0.46721311475409544
5980,NIPAL4,inf,0.2162308630266921
5981,NIPBL,1.1454545454545455,1.0
5982,NIPSNAP3A,inf,0.46721311475409544
5983,NIT1,inf,0.46721311475409544
5984,NKAIN2,1.1428571428571428,1.0
5985,NKAIN3,inf,0.46721311475409544
5986,NKAP,inf,0.46721311475409544
5987,NKAPL,inf,0.46721311475409544
5988,NKD2,inf,0.46721311475409544
5989,NKPD1,inf,0.2162308630266921
5990,NKTR,inf,0.46721311475409544
5991,NKX2-1,inf,0.46721311475409544
5992,NKX2-2,inf,0.46721311475409544
5993,NKX2-3,1.1428571428571428,1.0
5994,NKX2-5,0.0,1.0
5995,NKX3-2,2.327272727272727,0.5984283972361519
5996,NKX6-2,1.1428571428571428,1.0
5997,NLE1,0.5625,1.0
5998,NLGN1,2.327272727272727,0.5984283972361519
5999,NLGN2,inf,0.46721311475409544
6000,NLGN3,inf,0.46721311475409544
6001,NLGN4X,2.327272727272727,0.5984283972361519
6002,NLGN4Y,0.0,1.0
6003,NLK,inf,0.46721311475409544
6004,NLN,inf,0.46721311475409544
6005,NLRC3,1.1428571428571428,1.0
6006,NLRC4,1.1428571428571428,1.0
6007,NLRC5,inf,0.2162308630266921
6008,NLRP1,inf,0.46721311475409544
6009,NLRP11,1.1428571428571428,1.0
6010,NLRP12,2.327272727272727,0.5984283972361519
6011,NLRP13,inf,0.46721311475409544
6012,NLRP14,0.0,1.0
6013,NLRP2,inf,0.46721311475409544
6014,NLRP3,inf,0.09910581222056716
6015,NLRP4,2.327272727272727,0.5984283972361519
6016,NLRP5,inf,0.46721311475409544
6017,NLRP6,inf,0.2162308630266921
6018,NLRP7,inf,0.09910581222056716
6019,NLRP8,inf,0.46721311475409544
6020,NLRP9,1.1428571428571428,1.0
6021,NMB,inf,0.46721311475409544
6022,NMD3,1.1428571428571428,1.0
6023,NME7,0.0,1.0
6024,NME8,inf,0.46721311475409544
6025,NME9,inf,0.46721311475409544
6026,NMNAT2,1.1428571428571428,1.0
6027,NMRK2,inf,0.46721311475409544
6028,NMT2,inf,0.46721311475409544
6029,NMU,0.0,1.0
6030,NMUR1,0.5625,1.0
6031,NNT,0.5625,1.0
6032,NOA1,1.1428571428571428,1.0
6033,NOB1,1.1428571428571428,1.0
6034,NOBOX,0.36904761904761907,0.622050256222261
6035,NOC2L,inf,0.09910581222056716
6036,NOC4L,inf,0.09910581222056716
6037,NOD1,0.0,1.0
6038,NOD2,1.1428571428571428,1.0
6039,NOG,inf,0.46721311475409544
6040,NOL10,inf,0.46721311475409544
6041,NOL11,inf,0.46721311475409544
6042,NOL12,inf,0.46721311475409544
6043,NOL3,inf,0.46721311475409544
6044,NOL4,inf,0.46721311475409544
6045,NOL6,0.5625,1.0
6046,NOL9,inf,0.46721311475409544
6047,NOM1,0.36904761904761907,0.622050256222261
6048,NOMO1,inf,0.46721311475409544
6049,NOMO2,1.1428571428571428,1.0
6050,NOP56,inf,0.46721311475409544
6051,NOP9,1.1428571428571428,1.0
6052,NOS1,inf,0.09910581222056716
6053,NOS2,0.7515151515151515,1.0
6054,NOS3,1.75,0.6636887873164217
6055,NOSIP,1.1428571428571428,1.0
6056,NOSTRIN,0.0,1.0
6057,NOTCH1,1.1481481481481481,1.0
6058,NOTCH2,inf,0.04497238537740014
6059,NOTCH2NL,inf,0.46721311475409544
6060,NOTCH3,4.830188679245283,0.18391148192058612
