Name,amplifications,neutral,deletions,average
SCN8A,3.0,99.0,7.0,-0.005562385321100917
SCN9A,1.0,102.0,6.0,0.004797247706422017
SCNM1,41.0,67.0,1.0,0.2489853211009174
SCNN1A,4.0,84.0,21.0,-0.031485321100917424
SCNN1B,9.0,96.0,4.0,0.07142385321100918
SCNN1D,2.0,97.0,10.0,-0.011571559633027523
SCNN1G,9.0,96.0,4.0,0.07142385321100918
SCO1,0.0,68.0,41.0,-0.16587889908256884
SCO2,2.0,75.0,32.0,-0.11714128440366973
SCOC,2.0,95.0,12.0,-0.034996330275229366
SCP2,0.0,97.0,12.0,-0.027716513761467894
SCP2D1,7.0,87.0,15.0,-0.010184403669724767
SCPEP1,4.0,101.0,4.0,0.08233119266055046
SCRG1,1.0,94.0,14.0,-0.053266972477064176
SCRIB,28.0,80.0,1.0,0.18216238532110093
SCRN1,27.0,80.0,2.0,0.1994064220183486
SCRN2,3.0,104.0,2.0,0.09915229357798164
SCRN3,2.0,102.0,5.0,0.008604587155963312
SCRT1,26.0,82.0,1.0,0.1770779816513762
SCRT2,5.0,90.0,14.0,-0.014100917431192664
SCT,2.0,95.0,12.0,-0.028897247706422005
SCTR,1.0,105.0,3.0,-0.0018284403669724739
SCUBE1,3.0,76.0,30.0,-0.10099266055045869
SCUBE2,2.0,100.0,7.0,-0.00973302752293578
SCUBE3,2.0,103.0,4.0,0.047333027522935785
SCX,26.0,82.0,1.0,0.1822211009174312
SCYL1,6.0,101.0,2.0,0.058933944954128424
SCYL2,4.0,98.0,7.0,-0.004870642201834863
SCYL3,32.0,76.0,1.0,0.20210091743119266
SDAD1,3.0,100.0,6.0,-0.019299999999999998
SDC1,2.0,106.0,1.0,0.024685321100917437
SDC2,30.0,77.0,2.0,0.19817064220183483
SDC3,3.0,98.0,8.0,0.01010825688073395
SDC4,7.0,94.0,8.0,0.05032018348623855
SDCBP,16.0,86.0,7.0,0.0880284403669725
SDCBP2,5.0,90.0,14.0,-0.013908256880733954
SDCCAG3,1.0,88.0,20.0,-0.08080366972477067
SDCCAG8,25.0,81.0,3.0,0.1626119266055046
SDE2,26.0,82.0,1.0,0.1742009174311927
SDF2,8.0,94.0,7.0,0.061348623853211014
SDF2L1,2.0,86.0,21.0,-0.06178807339449542
SDF4,2.0,97.0,10.0,-0.011571559633027523
SDHA,39.0,70.0,0.0,0.25865596330275226
SDHAF1,8.0,90.0,11.0,0.01903119266055047
SDHAF2,1.0,104.0,4.0,0.012357798165137612
SDHAF3,9.0,98.0,2.0,0.08316605504587157
SDHAF4,2.0,83.0,24.0,-0.0871926605504587
SDHB,3.0,93.0,13.0,-0.008941284403669722
SDHC,36.0,72.0,1.0,0.24461559633027527
SDHD,3.0,95.0,11.0,0.0014293577981651375
SDK1,29.0,78.0,2.0,0.19097431192660547
SDK2,10.0,96.0,3.0,0.09995229357798165
SDPR,1.0,104.0,4.0,0.0006128440366972446
SDR16C5,16.0,84.0,9.0,0.0742220183486239
SDR39U1,9.0,97.0,3.0,0.08073669724770642
SDR42E1,4.0,84.0,21.0,-0.022124770642201832
SDR42E2,10.0,95.0,4.0,0.07181100917431193
SDR9C7,7.0,97.0,5.0,0.03655688073394495
SDS,3.0,97.0,9.0,-0.013900000000000003
SDSL,3.0,97.0,9.0,-0.013900000000000003
SEBOX,5.0,97.0,7.0,0.05064128440366972
SEC11A,3.0,77.0,29.0,-0.10371834862385322
SEC11C,1.0,69.0,39.0,-0.14550458715596334
SEC13,0.0,80.0,29.0,-0.1114091743119266
SEC14L1,8.0,96.0,5.0,0.08214770642201838
SEC14L2,3.0,80.0,26.0,-0.0801633027522936
SEC14L3,3.0,80.0,26.0,-0.0801633027522936
SEC14L4,3.0,80.0,26.0,-0.0801633027522936
SEC14L5,10.0,97.0,2.0,0.08258256880733947
SEC14L6,3.0,80.0,26.0,-0.0801633027522936
SEC16A,1.0,88.0,20.0,-0.08080366972477067
SEC16B,27.0,80.0,2.0,0.17939082568807344
SEC22A,3.0,93.0,13.0,-0.00832935779816514
SEC22B,4.0,100.0,5.0,0.01760091743119267
SEC22C,0.0,79.0,30.0,-0.11871284403669725
SEC23A,21.0,87.0,1.0,0.1338394495412844
SEC23B,6.0,88.0,15.0,-0.017095412844036696
SEC23IP,1.0,90.0,18.0,-0.07146697247706421
SEC24A,4.0,91.0,14.0,-0.024725688073394505
SEC24B,2.0,93.0,14.0,-0.052016513761467854
SEC24C,3.0,92.0,14.0,-0.054827522935779825
SEC24D,2.0,93.0,14.0,-0.045895412844036663
SEC31A,2.0,97.0,10.0,-0.03979633027522934
SEC31B,1.0,88.0,20.0,-0.07699908256880733
