,Mutation,Lscc_odds,Lscc_pvalue
127,ACOT11,0.0,0.5587198025039665
128,ACOT12,0.0,1.0
129,ACOT6,0.0,1.0
130,ACOT9,2.6551724137931036,0.48026998961578404
131,ACOX1,2.6551724137931036,0.48026998961578404
132,ACOXL,0.0,1.0
133,ACP2,0.0,1.0
134,ACP6,0.0,1.0
135,ACP7,0.0,0.5587198025039665
136,ACPP,2.6551724137931036,0.48026998961578404
137,ACPT,0.0,1.0
138,ACRBP,0.0,1.0
139,ACRV1,0.0,1.0
140,ACSBG1,2.6551724137931036,0.48026998961578404
141,ACSBG2,0.0,1.0
142,ACSF2,0.0,1.0
143,ACSF3,0.0,0.5587198025039665
144,ACSL1,inf,0.2777777777777764
145,ACSL3,0.0,1.0
146,ACSL6,1.7857142857142858,0.616102392288252
147,ACSM1,0.0,0.5587198025039665
148,ACSM2A,2.0285714285714285,0.3077855985554064
149,ACSM2B,2.7142857142857144,0.30796057916495284
150,ACSM3,0.0,1.0
151,ACSM4,0.0,1.0
152,ACSM5,0.6379310344827587,1.0
153,ACSS1,inf,0.2777777777777764
154,ACSS2,inf,0.2777777777777764
155,ACSS3,2.6551724137931036,0.48026998961578404
156,ACTA1,0.0,1.0
157,ACTBL2,1.3103448275862069,1.0
158,ACTC1,2.6551724137931036,0.48026998961578404
159,ACTG1,0.0,1.0
160,ACTG2,0.0,1.0
161,ACTL6A,0.0,1.0
162,ACTL6B,0.0,1.0
163,ACTL7A,inf,0.2777777777777764
164,ACTL7B,inf,0.019886753267109432
165,ACTN1,0.0,1.0
166,ACTN2,1.7857142857142858,0.616102392288252
167,ACTN4,0.6379310344827587,1.0
168,ACTR1B,8.555555555555555,0.06420580340523928
169,ACTR2,1.7857142857142858,0.616102392288252
170,ACTR3,0.0,1.0
171,ACTR5,0.0,0.31922157565783094
172,ACTR6,0.0,1.0
173,ACTRT1,0.0,1.0
174,ACTRT2,inf,0.2777777777777764
175,ACVR1,1.3103448275862069,1.0
176,ACVR1B,0.0,1.0
177,ACVR1C,inf,0.2777777777777764
178,ACVR2B,0.0,1.0
179,ADAD1,1.042857142857143,1.0
180,ADAD2,0.0,0.5587198025039665
181,ADAM11,0.0,1.0
182,ADAM12,0.0,0.5741295871784345
183,ADAM17,0.0,1.0
184,ADAM18,0.0,1.0
185,ADAM19,2.7777777777777777,0.34476505402208235
186,ADAM2,0.7244897959183674,1.0
187,ADAM20,0.0,0.5587198025039665
188,ADAM21,1.3103448275862069,1.0
189,ADAM22,0.8571428571428571,1.0
190,ADAM23,2.6551724137931036,0.48026998961578404
191,ADAM29,8.555555555555555,0.06420580340523928
192,ADAM30,2.6551724137931036,0.48026998961578404
193,ADAM32,0.8620689655172413,1.0
194,ADAM33,0.8620689655172413,1.0
195,ADAM7,inf,0.2777777777777764
196,ADAM8,2.7142857142857144,0.30796057916495284
197,ADAM9,0.8620689655172413,1.0
198,ADAMDEC1,inf,0.2777777777777764
199,ADAMTS1,2.7142857142857144,0.30796057916495284
200,ADAMTS10,2.7142857142857144,0.30796057916495284
201,ADAMTS12,0.4777327935222672,0.2956367111535775
202,ADAMTS13,0.0,0.31922157565783094
203,ADAMTS14,2.7777777777777777,0.34476505402208235
204,ADAMTS15,1.3103448275862069,1.0
205,ADAMTS16,0.0,0.0323875599490554
206,ADAMTS17,0.0,0.5587198025039665
207,ADAMTS18,0.503448275862069,1.0
208,ADAMTS19,0.8620689655172413,1.0
209,ADAMTS2,5.5,0.18608319128509537
210,ADAMTS20,0.5555555555555556,0.5483781844245648
211,ADAMTS3,1.3214285714285714,0.6690280818951142
212,ADAMTS4,inf,0.07528556593977125
213,ADAMTS5,1.3103448275862069,1.0
214,ADAMTS6,0.0,0.1833541245919506
215,ADAMTS7,0.8571428571428571,1.0
216,ADAMTS8,1.3103448275862069,1.0
217,ADAMTS9,1.3103448275862069,1.0
218,ADAMTSL1,0.0,1.0
219,ADAMTSL2,2.7142857142857144,0.30796057916495284
220,ADAMTSL3,0.3017241379310345,0.4395747799286444
221,ADAMTSL4,2.7142857142857144,0.30796057916495284
222,ADAMTSL5,0.0,1.0
223,ADAP1,1.3103448275862069,1.0
224,ADAR,0.0,1.0
225,ADARB1,0.0,1.0
226,ADARB2,0.0,0.5741295871784345
227,ADAT1,0.0,1.0
228,ADCK1,0.8620689655172413,1.0
229,ADCK4,0.0,1.0
230,ADCK5,1.3103448275862069,1.0
231,ADCY1,0.503448275862069,1.0
232,ADCY10,0.0,0.31922157565783094
233,ADCY2,2.0555555555555554,0.3942997577165433
234,ADCY3,0.0,0.31922157565783094
235,ADCY4,inf,0.2777777777777764
236,ADCY5,0.503448275862069,1.0
237,ADCY6,inf,0.2777777777777764
238,ADCY7,0.0,0.5587198025039665
239,ADCY8,1.3461538461538463,0.7344931062952245
240,ADCY9,inf,0.2777777777777764
241,ADCYAP1,5.5,0.18608319128509537
242,ADCYAP1R1,1.3214285714285714,0.6690280818951142
243,ADD1,0.0,1.0
244,ADD2,0.6379310344827587,1.0
245,ADD3,2.6551724137931036,0.48026998961578404
246,ADGB,0.9722222222222222,1.0
247,ADGRA2,1.6222222222222222,0.6826070760113729
248,ADGRA3,0.0,1.0
249,ADGRB1,1.7857142857142858,0.616102392288252
250,ADGRB2,0.6379310344827587,1.0
251,ADGRB3,0.6767676767676768,0.7532226962146316
252,ADGRD1,1.7857142857142858,0.616102392288252
253,ADGRE1,2.7142857142857144,0.30796057916495284
254,ADGRE2,5.5,0.18608319128509537
255,ADGRE3,inf,0.07528556593977125
256,ADGRE5,0.0,1.0
257,ADGRF2,0.8620689655172413,1.0
258,ADGRF3,2.6551724137931036,0.48026998961578404
259,ADGRF4,1.3103448275862069,1.0
260,ADGRF5,2.6551724137931036,0.48026998961578404
261,ADGRG1,0.0,1.0
262,ADGRG2,0.6379310344827587,1.0
263,ADGRG3,0.0,1.0
264,ADGRG4,0.8518518518518519,1.0
265,ADGRG5,0.0,1.0
266,ADGRG6,2.6551724137931036,0.48026998961578404
267,ADGRG7,0.6379310344827587,1.0
268,ADGRL1,1.7857142857142858,0.616102392288252
269,ADGRL2,2.7777777777777777,0.34476505402208235
270,ADGRL3,0.9722222222222222,1.0
271,ADGRL4,2.7777777777777777,0.34476505402208235
272,ADGRV1,0.4857142857142857,0.5040710521157226
273,ADH1A,0.0,1.0
274,ADH1B,0.0,1.0
275,ADH6,0.0,1.0
276,ADH7,inf,0.2777777777777764
277,ADHFE1,0.0,1.0
278,ADIG,0.0,1.0
279,ADIPOQ,0.0,1.0
280,ADK,inf,0.2777777777777764
281,ADM,0.0,1.0
282,ADM5,0.0,1.0
283,ADNP2,0.0,1.0
284,ADO,2.6551724137931036,0.48026998961578404
285,ADORA1,2.6551724137931036,0.48026998961578404
286,ADPRH,0.0,0.5741295871784345
287,ADPRM,0.0,1.0
288,ADRA1A,inf,0.07528556593977125
289,ADRA1B,0.0,1.0
290,ADRA1D,inf,0.2777777777777764
291,ADRA2A,inf,0.019886753267109432
292,ADRA2B,0.0,1.0
293,ADRA2C,1.3103448275862069,1.0
294,ADRB3,0.0,1.0
295,ADRM1,0.0,1.0
296,ADSSL1,0.0,0.5587198025039665
297,ADTRP,2.6551724137931036,0.48026998961578404
298,AEBP1,inf,0.2777777777777764
299,AEBP2,0.0,0.5587198025039665
300,AES,inf,0.2777777777777764
301,AF011889.5,0.0,0.5587198025039665
302,AF165138.7,0.0,1.0
