,,amplifications,neutral,deletions,average
ADAM33,ENSG00000149451.17,3.0,105.0,2.0,0.03923566363636364
ADAM7,ENSG00000069206.15,0.0,85.0,25.0,-0.09379720909090909
ADAM8,ENSG00000151651.15,0.0,96.0,14.0,-0.04571101818181817
ADAM9,ENSG00000168615.11,0.0,86.0,24.0,-0.09113388181818183
ADAMDEC1,ENSG00000134028.14,0.0,85.0,25.0,-0.09379720909090909
ADAMTS1,ENSG00000154734.14,3.0,105.0,2.0,0.014011354545454541
ADAMTS10,ENSG00000142303.13,0.0,108.0,2.0,0.0089584
ADAMTS12,ENSG00000151388.10,10.0,98.0,2.0,0.08026073636363637
ADAMTS13,ENSG00000160323.18,0.0,92.0,18.0,-0.06894649090909091
ADAMTS14,ENSG00000138316.10,0.0,99.0,11.0,-0.03528541818181817
ADAMTS15,ENSG00000166106.3,0.0,106.0,4.0,-0.003040327272727273
ADAMTS16,ENSG00000145536.15,10.0,98.0,2.0,0.07929597272727273
ADAMTS17,ENSG00000140470.13,0.0,105.0,5.0,-0.017416681818181817
ADAMTS18,ENSG00000140873.15,9.0,98.0,3.0,0.06317638181818183
ADAMTS19,ENSG00000145808.9,35.0,74.0,1.0,0.18109483636363624
ADAMTS2,ENSG00000087116.14,38.0,72.0,0.0,0.20125091818181814
ADAMTS20,ENSG00000173157.16,6.0,104.0,0.0,0.060871690909090906
ADAMTS3,ENSG00000156140.9,1.0,101.0,8.0,-0.02280284545454545
ADAMTS4,ENSG00000158859.9,3.0,104.0,3.0,0.01465816363636363
ADAMTS5,ENSG00000154736.5,3.0,105.0,2.0,0.014011354545454541
ADAMTS6,ENSG00000049192.14,12.0,96.0,2.0,0.08151061818181818
ADAMTS7,ENSG00000136378.14,0.0,105.0,5.0,-0.011684127272727274
ADAMTS8,ENSG00000134917.9,0.0,106.0,4.0,-0.003040327272727273
ADAMTS9,ENSG00000163638.13,0.0,27.0,83.0,-0.30636476363636367
ADAMTSL1,ENSG00000178031.16,0.0,92.0,18.0,-0.06492537272727271
ADAMTSL2,ENSG00000197859.9,0.0,92.0,18.0,-0.06894649090909091
ADAMTSL3,ENSG00000156218.12,0.0,105.0,5.0,-0.011611245454545456
ADAMTSL4,ENSG00000143382.14,3.0,104.0,3.0,0.015854790909090907
ADAMTSL5,ENSG00000185761.10,0.0,108.0,2.0,0.010081800000000004
ADAP1,ENSG00000105963.13,15.0,93.0,2.0,0.10637838181818182
ADAP2,ENSG00000184060.10,0.0,108.0,2.0,0.0024638999999999998
ADAR,ENSG00000160710.15,3.0,104.0,3.0,0.014429636363636361
ADARB1,ENSG00000197381.15,3.0,105.0,2.0,0.013626281818181816
ADARB2,ENSG00000185736.15,0.0,103.0,7.0,-0.023002109090909096
ADAT1,ENSG00000065457.10,9.0,99.0,2.0,0.06612516363636366
ADAT2,ENSG00000189007.15,0.0,89.0,21.0,-0.09388440909090912
ADAT3,ENSG00000213638.5,0.0,108.0,2.0,0.008334972727272731
ADCK1,ENSG00000063761.15,0.0,71.0,39.0,-0.1384483272727272
ADCK2,ENSG00000133597.10,15.0,93.0,2.0,0.0957323090909091
ADCK5,ENSG00000173137.11,4.0,101.0,5.0,0.0252263
ADCY1,ENSG00000164742.14,15.0,93.0,2.0,0.10835832727272729
ADCY10,ENSG00000143199.17,3.0,104.0,3.0,0.014775118181818175
ADCY2,ENSG00000078295.16,10.0,98.0,2.0,0.07929597272727273
ADCY3,ENSG00000138031.14,3.0,105.0,2.0,0.028899372727272728
ADCY4,ENSG00000129467.13,0.0,81.0,29.0,-0.10476251818181807
ADCY5,ENSG00000173175.14,0.0,90.0,20.0,-0.040915381818181815
ADCY6,ENSG00000174233.11,6.0,104.0,0.0,0.060375890909090915
ADCY7,ENSG00000121281.12,9.0,100.0,1.0,0.06996431818181818
ADCY8,ENSG00000155897.9,4.0,100.0,6.0,0.01954965454545455
ADCY9,ENSG00000162104.9,8.0,102.0,0.0,0.07808803636363634
ADCYAP1,ENSG00000141433.12,0.0,97.0,13.0,-0.04487819090909094
ADCYAP1R1,ENSG00000078549.14,15.0,93.0,2.0,0.10815277272727272
ADD1,ENSG00000087274.16,1.0,100.0,9.0,-0.02756485454545455
ADD2,ENSG00000075340.22,3.0,105.0,2.0,0.03089814545454546
ADD3,ENSG00000148700.14,0.0,98.0,12.0,-0.03980607272727271
ADGB,ENSG00000118492.16,0.0,88.0,22.0,-0.0967405272727273
ADGRA1,ENSG00000197177.15,0.0,96.0,14.0,-0.04571101818181817
ADGRA2,ENSG00000020181.17,0.0,86.0,24.0,-0.08896553636363637
ADGRA3,ENSG00000152990.13,0.0,103.0,7.0,-0.022080363636363644
ADGRB1,ENSG00000181790.10,4.0,101.0,5.0,0.027372972727272727
ADGRB2,ENSG00000121753.12,0.0,102.0,8.0,-0.02804377272727273
ADGRB3,ENSG00000135298.13,0.0,97.0,13.0,-0.05752277272727274
ADGRD1,ENSG00000111452.12,6.0,104.0,0.0,0.059521890909090894
ADGRD2,ENSG00000180264.11,0.0,92.0,18.0,-0.06739863636363637
ADGRE1,ENSG00000174837.14,0.0,109.0,1.0,0.015882490909090906
ADGRE2,ENSG00000127507.17,0.0,109.0,1.0,0.014393172727272729
ADGRE3,ENSG00000131355.14,0.0,109.0,1.0,0.014582645454545457
ADGRE5,ENSG00000123146.19,0.0,109.0,1.0,0.014582645454545457
ADGRF1,ENSG00000153292.15,0.0,98.0,12.0,-0.05268955454545454
ADGRF2,ENSG00000164393.8,0.0,98.0,12.0,-0.05268955454545454
ADGRF3,ENSG00000173567.14,3.0,105.0,2.0,0.03153442727272727
ADGRF4,ENSG00000153294.11,0.0,98.0,12.0,-0.05268955454545454
ADGRF5,ENSG00000069122.18,0.0,98.0,12.0,-0.05268955454545454
ADGRG1,ENSG00000205336.11,9.0,100.0,1.0,0.07004646363636363
ADGRG2,ENSG00000173698.17,2.0,101.0,7.0,0.0009959909090909087
ADGRG3,ENSG00000182885.16,9.0,100.0,1.0,0.07004646363636363
ADGRG4,ENSG00000156920.10,2.0,101.0,7.0,0.0009230181818181824
ADGRG5,ENSG00000159618.15,9.0,100.0,1.0,0.07004646363636363
ADGRG6,ENSG00000112414.14,0.0,89.0,21.0,-0.09388440909090912
ADGRG7,ENSG00000144820.7,0.0,82.0,28.0,-0.07675427272727275
ADGRL1,ENSG00000072071.16,0.0,109.0,1.0,0.014582645454545457
ADGRL2,ENSG00000117114.19,0.0,106.0,4.0,-0.011911381818181828
