Name,amplifications,neutral,deletions,average
AC073896.1,2.0,91.0,5.0,-0.017538285431417576
AC074143.1,2.0,90.0,6.0,-0.03543101245995231
AC078927.1,2.0,90.0,6.0,0.005323407689891276
AC079447.1,0.0,97.0,1.0,-0.0018577503974914302
AC079594.2,1.0,93.0,4.0,-0.02120417288686071
AC083800.1,1.0,93.0,4.0,-0.017773974489513105
AC084121.11,0.0,92.0,6.0,-0.022154554545652266
AC084121.12,0.0,92.0,6.0,-0.022154554545652266
AC084121.13,0.0,92.0,6.0,-0.022154554545652266
AC084121.5,0.0,92.0,6.0,-0.022154554545652266
AC084121.6,0.0,92.0,6.0,-0.022154554545652266
AC084121.7,0.0,92.0,6.0,-0.022154554545652266
AC084121.8,0.0,92.0,6.0,-0.022154554545652266
AC084121.9,0.0,92.0,6.0,-0.022154554545652266
AC084337.2,1.0,88.0,9.0,-0.04198783618118634
AC087289.3,2.0,92.0,4.0,0.006142519165258347
AC087498.1,1.0,87.0,10.0,-0.04531194431507961
AC087632.1,0.0,92.0,6.0,-0.033355825599611776
AC087721.2,0.0,86.0,12.0,-0.05830185645529647
AC090004.1,1.0,93.0,4.0,-0.0078581405700835
AC090227.1,2.0,92.0,4.0,-0.015568008962850108
AC090360.1,1.0,91.0,6.0,-0.021990597591745584
AC090517.4,0.0,89.0,9.0,-0.04779987883395703
AC090527.2,0.0,86.0,12.0,-0.058150649818715025
AC091057.6,0.0,88.0,10.0,-0.05084897629849009
AC091167.2,0.0,91.0,7.0,-0.032946623678493984
AC091167.6,0.0,92.0,6.0,-0.03055941918745969
AC091167.7,0.0,91.0,7.0,-0.032946623678493984
AC091551.1,2.0,92.0,4.0,-0.014625644155545287
AC091959.3,1.0,96.0,1.0,0.002815121360161856
AC092017.3,4.0,89.0,5.0,0.01365813736583459
AC092042.3,1.0,93.0,4.0,-0.0099886886613175
AC092073.1,21.0,73.0,4.0,0.09866710822718137
AC092111.3,2.0,93.0,3.0,-0.004280747704381496
