,Mutation,Hnscc_odds,Hnscc_pvalue
228,ADGRF2,1.3275862068965518,1.0
229,ADGRF3,0.8735632183908046,1.0
230,ADGRF4,0.0,1.0
231,ADGRF5,0.0,0.573564090493129
232,ADGRG1,0.0,1.0
233,ADGRG2,0.0,1.0
234,ADGRG3,0.0,1.0
235,ADGRG4,0.0,0.3197331919771389
236,ADGRG5,0.0,1.0
237,ADGRG6,2.75,0.3034880144721127
238,ADGRG7,inf,0.2752293577981668
239,ADGRL1,0.0,1.0
240,ADGRL2,0.0,1.0
241,ADGRL3,5.571428571428571,0.1830337153581604
242,ADGRL4,0.0,1.0
243,ADGRV1,1.725,0.36926036813242147
244,ADH1C,inf,0.2752293577981668
245,ADHFE1,0.0,1.0
246,ADI1,0.0,1.0
247,ADIG,0.0,1.0
248,ADIPOQ,inf,0.2752293577981668
249,ADIPOR1,0.0,1.0
250,ADK,0.0,1.0
251,ADNP,2.689655172413793,0.4765545361875627
252,ADO,0.0,1.0
253,ADORA2A,0.0,1.0
254,ADORA2B,inf,0.2752293577981668
255,ADORA3,0.0,1.0
256,ADPGK,0.0,1.0
257,ADPRM,0.0,1.0
258,ADRA1A,0.0,1.0
259,ADRA1B,2.689655172413793,0.4765545361875627
260,ADRA1D,1.3275862068965518,1.0
261,ADRA2A,0.0,1.0
262,ADRA2B,0.0,1.0
263,ADRA2C,0.0,1.0
264,ADRB1,0.0,1.0
265,ADRB3,0.0,1.0
266,ADSL,5.571428571428571,0.1830337153581604
267,ADSS,0.0,0.5597187687558982
268,ADSSL1,0.0,0.573564090493129
269,AEBP1,1.3275862068965518,1.0
270,AEBP2,inf,0.2752293577981668
271,AES,0.0,1.0
272,AFAP1L2,2.689655172413793,0.4765545361875627
273,AFF1,0.0,1.0
274,AFF2,0.8735632183908046,1.0
275,AFF3,1.3275862068965518,1.0
276,AFF4,0.0,1.0
277,AFG3L2,0.0,1.0
278,AFMID,0.0,1.0
279,AGA,0.0,1.0
280,AGAP1,0.8735632183908046,1.0
281,AGAP10P,0.0,1.0
282,AGAP12P,0.0,1.0
283,AGAP2,inf,0.2752293577981668
284,AGAP3,0.0,1.0
285,AGAP5,0.0,1.0
286,AGAP6,0.0,1.0
287,AGAP9,0.0,1.0
288,AGBL1,2.689655172413793,0.4765545361875627
289,AGBL2,0.0,1.0
290,AGBL3,0.0,1.0
291,AGBL4,0.646551724137931,1.0
292,AGBL5,0.8735632183908046,1.0
293,AGER,0.0,1.0
294,AGFG1,inf,0.2752293577981668
295,AGGF1,0.0,1.0
296,AGK,0.0,0.5597187687558982
297,AGL,0.41954022988505746,0.6709771478646152
298,AGMAT,2.689655172413793,0.4765545361875627
299,AGMO,0.0,1.0
300,AGO1,0.8735632183908046,1.0
301,AGO2,0.0,1.0
302,AGO3,inf,0.2752293577981668
303,AGO4,0.0,1.0
304,AGPAT2,0.0,1.0
305,AGPS,inf,0.2752293577981668
306,AGR2,0.0,1.0
307,AGRN,0.0,0.3197331919771389
308,AGT,5.571428571428571,0.1830337153581604
309,AGTPBP1,0.0,0.5597187687558982
