protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
PNPLA6	ENSP00000221249	0.9973324374037679	coad	-0.02442292177606377	33	66
POLD1	ENSP00000406046	0.9973324374037679	coad	-0.005825237622721607	33	66
PPIL3	ENSP00000376107	0.9973324374037679	coad	-0.0505141994733704	33	66
PPIL4	ENSP00000253329	0.9973324374037679	coad	-0.024877249887686886	33	66
PPIP5K1	ENSP00000308773	0.9973324374037679	coad	-0.08215848259261233	21	28
PRKCD	ENSP00000331602	0.9973324374037679	coad	-0.009513789758965123	33	66
PRKCB	ENSP00000496129	0.9973324374037679	coad	0.04553704017797022	33	66
PRKCA	ENSP00000408695	0.9973324374037679	coad	0.12297768039704654	33	66
PRKAR2A	ENSP00000265563	0.9973324374037679	coad	0.009999762216300917	33	66
PRKAR1B	ENSP00000353415	0.9973324374037679	coad	0.023092677566540765	33	66
PRKAR1A	ENSP00000351410	0.9973324374037679	coad	0.07054767358690212	33	66
PRKAG1	ENSP00000323867	0.9973324374037679	coad	0.017007778489869063	33	66
PRKACB	ENSP00000359723	0.9973324374037679	coad	-0.11308490849326325	25	50
PRKACB	ENSP00000359719	0.9973324374037679	coad	0.016107544541483998	33	66
PRKACA	ENSP00000309591	0.9973324374037679	coad	-0.02643313201036035	33	66
PRKAB2	ENSP00000254101	0.9973324374037679	coad	0.09709512728907393	33	66
PRKAB1	ENSP00000229328	0.9973324374037679	coad	0.05271424318288333	33	66
PRKCE	ENSP00000306124	0.9973324374037679	coad	-0.09465903545537441	10	18
PRKAA2	ENSP00000360290	0.9973324374037679	coad	-0.15675238946217362	11	21
PRIM1	ENSP00000350491	0.9973324374037679	coad	0.24181736033852505	21	40
PRICKLE4	ENSP00000377802	0.9973324374037679	coad	0.21696735238371806	6	13
PRG4	ENSP00000356453	0.9973324374037679	coad	0.1318565608532573	25	41
PRG3	ENSP00000287143	0.9973324374037679	coad	-0.06706675004885672	33	66
PRG2	ENSP00000312134	0.9973324374037679	coad	-0.07300665988314423	33	66
PRF1	ENSP00000362305	0.9973324374037679	coad	-0.12475704627878975	6	10
PREX1	ENSP00000361009	0.9973324374037679	coad	-0.05598744173240095	33	66
PREPL	ENSP00000260648	0.9973324374037679	coad	0.04861524854438482	33	66
PRELP	ENSP00000343924	0.9973324374037679	coad	0.05082421401419723	33	66
PREB	ENSP00000260643	0.9973324374037679	coad	0.04225531698273305	33	66
PRDX6	ENSP00000342026	0.9973324374037679	coad	-0.03680817326034452	33	66
PRDX5	ENSP00000265462	0.9973324374037679	coad	0.020586736594732563	33	66
PRKAA1	ENSP00000346148	0.9973324374037679	coad	0.003871074598405841	33	66
PRDX3	ENSP00000298510	0.9973324374037679	coad	0.025091993755353884	33	66
PRKCI	ENSP00000295797	0.9973324374037679	coad	-0.033460644126075814	33	66
PRKCZ	ENSP00000383712	0.9973324374037679	coad	-0.29496121533992326	4	16
PRPF4	ENSP00000363313	0.9973324374037679	coad	-0.022505321221047925	33	66
PRPF39	ENSP00000348010	0.9973324374037679	coad	-0.01752356547879934	27	47
PRPF38B	ENSP00000359042	0.9973324374037679	coad	-0.028852269496321414	33	66
PRPF38A	ENSP00000257181	0.9973324374037679	coad	0.013728310290048243	33	66
PRPF3	ENSP00000315379	0.9973324374037679	coad	0.0063892404527902125	33	66
PRPF19	ENSP00000227524	0.9973324374037679	coad	0.019290272279061826	33	66
PRPF18	ENSP00000367835	0.9973324374037679	coad	0.04966163321347569	7	9
PROZ	ENSP00000344458	0.9973324374037679	coad	0.04710359294763666	6	12
PROSER2	ENSP00000277570	0.9973324374037679	coad	-0.17183773694519977	9	16
PROSER1	ENSP00000332034	0.9973324374037679	coad	0.07303241591390039	11	15
PROS1	ENSP00000330021	0.9973324374037679	coad	-0.039260901246573165	33	66
PROM1	ENSP00000415481	0.9973324374037679	coad	-0.014312289066456374	30	58
PRKCSH	ENSP00000465461	0.9973324374037679	coad	0.02535532001987833	33	66
PRODH	ENSP00000334726	0.9973324374037679	coad	0.20097185798584882	10	13
PROC	ENSP00000234071	0.9973324374037679	coad	0.01663657925172335	12	30
PRNP	ENSP00000368752	0.9973324374037679	coad	-0.03004657260642818	33	66
PRND	ENSP00000306900	0.9973324374037679	coad	1.0072470213204503	13	26
PRMT5	ENSP00000319169	0.9973324374037679	coad	-0.014914175737971921	33	66
PRMT3	ENSP00000331879	0.9973324374037679	coad	-0.014979577590931936	33	66
PRMT1	ENSP00000375724	0.9973324374037679	coad	0.01328499608047179	33	66
PRKRIP1	ENSP00000381010	0.9973324374037679	coad	-0.2462459502275117	24	44
PRKRA	ENSP00000318176	0.9973324374037679	coad	0.01750403621526478	33	66
PRKG1	ENSP00000363092	0.9973324374037679	coad	0.07896708946791786	33	66
PRKD3	ENSP00000234179	0.9973324374037679	coad	0.5965102540034386	4	5
PRKD2	ENSP00000291281	0.9973324374037679	coad	-0.05703635991824618	32	64
PRKD1	ENSP00000333568	0.9973324374037679	coad	0.04018506446825554	25	56
PROCR	ENSP00000216968	0.9973324374037679	coad	-0.06993708558515144	33	66
PRDX2	ENSP00000301522	0.9973324374037679	coad	-0.04692711064881172	33	66
PRDM10	ENSP00000302669	0.9973324374037679	coad	-0.14420031444988954	11	21
PRCP	ENSP00000377055	0.9973324374037679	coad	-0.04986283912309564	33	66
PPP1R37	ENSP00000221462	0.9973324374037679	coad	0.03190492114077251	21	47
PPP1R21	ENSP00000294952	0.9973324374037679	coad	-0.02583833769824284	33	66
PPP1R2	ENSP00000484580	0.9973324374037679	coad	-0.043088333689997746	33	66
PPP1R1B	ENSP00000254079	0.9973324374037679	coad	-0.12709769011053487	33	66
PPP1R18	ENSP00000274853	0.9973324374037679	coad	0.03483151567707231	33	66
PPP1R14D	ENSP00000299174	0.9973324374037679	coad	-0.027191808011738372	32	64
PPP1R14C	ENSP00000355260	0.9973324374037679	coad	-0.22668184915980022	5	14
PPP1R14A	ENSP00000301242	0.9973324374037679	coad	0.04851801026825264	33	66
PPP1R13L	ENSP00000354218	0.9973324374037679	coad	-0.03903783916867615	33	66
PPP1R13B	ENSP00000202556	0.9973324374037679	coad	0.08338561212193002	16	23
PPP1R12C	ENSP00000263433	0.9973324374037679	coad	0.08768394435249494	33	66
PPP1R12B	ENSP00000488930	0.9973324374037679	coad	0.11379013414911643	33	66
PPP1R3D	ENSP00000360035	0.9973324374037679	coad	0.054102597031305114	32	62
PPP1R12A	ENSP00000261207	0.9973324374037679	coad	0.044470868934450514	33	66
PPP1R10	ENSP00000365694	0.9973324374037679	coad	-0.016021046622629098	33	66
PPP1CC	ENSP00000335084	0.9973324374037679	coad	-0.024979801794790587	33	66
PPP1CB	ENSP00000296122	0.9973324374037679	coad	0.09172160529296008	33	66
PPOX	ENSP00000343943	0.9973324374037679	coad	-0.010816321405062265	30	62
PPM1M	ENSP00000296487	0.9973324374037679	coad	-0.2464954406984986	5	14
PPM1L	ENSP00000417659	0.9973324374037679	coad	-0.16073666869578115	13	25
PPM1H	ENSP00000228705	0.9973324374037679	coad	-0.09765495488789011	27	53
PPM1G	ENSP00000342778	0.9973324374037679	coad	-0.009381566612819525	33	66
PPM1F	ENSP00000263212	0.9973324374037679	coad	0.020387995412396664	33	66
PPM1B	ENSP00000282412	0.9973324374037679	coad	-0.007909210178603354	26	53
PPM1A	ENSP00000327255	0.9973324374037679	coad	-0.0321150712735212	33	66
PPL	ENSP00000340510	0.9973324374037679	coad	0.05163750851369381	33	66
PPP1R11	ENSP00000365963	0.9973324374037679	coad	-0.049550130599581826	31	63
PPP1R7	ENSP00000234038	0.9973324374037679	coad	0.04774437343525373	33	66
PPP1R9A	ENSP00000289495	0.9973324374037679	coad	0.19942744304646412	16	28
PPP1R9B	ENSP00000478767	0.9973324374037679	coad	-0.005282034199328246	33	66
PRCC	ENSP00000271526	0.9973324374037679	coad	-0.014503848221893392	33	66
PRC1	ENSP00000354679	0.9973324374037679	coad	0.04021285015567619	11	23
PRAM1	ENSP00000408342	0.9973324374037679	coad	0.12309967985105622	20	46
PRAG1	ENSP00000479068	0.9973324374037679	coad	-0.05242697361890568	10	27
PPTC7	ENSP00000346255	0.9973324374037679	coad	0.07728502059336839	10	13
PPT1	ENSP00000394863	0.9973324374037679	coad	-0.009128212905873456	33	66
PPP6R3	ENSP00000265637	0.9973324374037679	coad	-0.010779470542659653	33	66
PPP6R2	ENSP00000216061	0.9973324374037679	coad	0.007089235980070233	33	66
PPP6R1	ENSP00000414202	0.9973324374037679	coad	-0.005658120372518626	33	66
PPP6C	ENSP00000362648	0.9973324374037679	coad	-0.025137133332226884	33	66
PPP5C	ENSP00000012443	0.9973324374037679	coad	-0.013676250411395086	33	66
PPP4R3B	ENSP00000478677	0.9973324374037679	coad	-0.061052098006632	20	39
PPP4R3A	ENSP00000450864	0.9973324374037679	coad	0.02908263248631475	33	66
PPP4R2	ENSP00000349124	0.9973324374037679	coad	-0.005347239299837575	33	66
PPP4R1	ENSP00000383401	0.9973324374037679	coad	0.023976685149949634	33	66
PPP4C	ENSP00000279387	0.9973324374037679	coad	0.018790370101643118	33	66
PPP3CC	ENSP00000240139	0.9973324374037679	coad	0.11572399748343468	6	14
PPP3CB	ENSP00000353881	0.9973324374037679	coad	0.05980476251309075	33	66
PPP3CA	ENSP00000378322	0.9973324374037679	coad	-0.021926917202874846	33	66
PPP2R5E	ENSP00000337641	0.9973324374037679	coad	0.008993554936587489	33	66
PPP2R5D	ENSP00000417963	0.9973324374037679	coad	0.010913952297684132	33	66
PPP2R5B	ENSP00000164133	0.9973324374037679	coad	0.29418065220077994	15	17
PPP2R2D	ENSP00000399970	0.9973324374037679	coad	0.080996841796623	27	45
PPP2R2A	ENSP00000370113	0.9973324374037679	coad	0.03261835504195177	33	66
PPP2R1B	ENSP00000437193	0.9973324374037679	coad	0.039673257545527085	33	66
PPP2R1A	ENSP00000324804	0.9973324374037679	coad	0.03614092746979558	33	66
PPP2CB	ENSP00000221138	0.9973324374037679	coad	0.06864796369639686	33	66
PLRG1	ENSP00000424417	0.9973324374037679	coad	-0.013261168248179245	33	66
PLPP6	ENSP00000371307	0.9973324374037679	coad	-0.09995296986153304	22	38
PLPP3	ENSP00000360296	0.9973324374037679	coad	-0.08543692220383636	31	63
PLPP2	ENSP00000329697	0.9973324374037679	coad	-0.0956110907903388	23	50
PFKM	ENSP00000309438	0.9973324374037679	coad	0.07360972770949598	33	66
PFKL	ENSP00000269848	0.9973324374037679	coad	-0.053750610090653	33	66
PFKFB3	ENSP00000353712	0.9973324374037679	coad	-0.06987416233558917	10	17
PFKFB2	ENSP00000356047	0.9973324374037679	coad	-0.07323191564941327	33	66
PFKFB2	ENSP00000356046	0.9973324374037679	coad	-0.026723700628256825	16	19
PFDN6	ENSP00000363734	0.9973324374037679	coad	-0.0053442673079727165	33	66
PFDN5	ENSP00000334188	0.9973324374037679	coad	0.03647915951486245	33	66
PFDN4	ENSP00000360473	0.9973324374037679	coad	0.11746342207543536	33	66
PFDN2	ENSP00000356989	0.9973324374037679	coad	0.07191442527264227	33	66
PFDN1	ENSP00000261813	0.9973324374037679	coad	0.0324037724475952	33	66
PFAS	ENSP00000313490	0.9973324374037679	coad	-0.024534089881226823	33	66
PF4	ENSP00000296029	0.9973324374037679	coad	-0.19545059027698297	23	51
PFKP	ENSP00000370517	0.9973324374037679	coad	0.14186416261801124	33	66
PEX6	ENSP00000303511	0.9973324374037679	coad	-0.0625333128604576	19	32
PEX3	ENSP00000356563	0.9973324374037679	coad	0.03889475502999502	33	66
PEX26	ENSP00000331106	0.9973324374037679	coad	-0.09490315401747222	12	16
PEX19	ENSP00000357051	0.9973324374037679	coad	0.04151699130154027	31	63
PEX16	ENSP00000241041	0.9973324374037679	coad	-0.08350065550373716	23	50
PEX14	ENSP00000349016	0.9973324374037679	coad	0.01047488820939585	33	66
PEX13	ENSP00000295030	0.9973324374037679	coad	0.04505706139626022	6	18
PEX1	ENSP00000248633	0.9973324374037679	coad	-0.057382611918715104	33	66
PET117	ENSP00000397881	0.9973324374037679	coad	-0.0642347816033687	14	29
PES1	ENSP00000334612	0.9973324374037679	coad	0.01063704739397947	33	66
PERP	ENSP00000397157	0.9973324374037679	coad	-0.04378191462552161	14	32
PEPD	ENSP00000244137	0.9973324374037679	coad	-0.021140452508442792	33	66
PEMT	ENSP00000255389	0.9973324374037679	coad	-0.20497982039004117	5	8
PEX5	ENSP00000266563	0.9973324374037679	coad	-0.01363594392190387	28	55
PELP1	ENSP00000460300	0.9973324374037679	coad	0.01127748806182878	33	66
PFN1	ENSP00000225655	0.9973324374037679	coad	0.08718201698226158	33	66
PFN2	ENSP00000408283	0.9973324374037679	coad	-0.05402947454473839	33	66
PHF2	ENSP00000352185	0.9973324374037679	coad	0.04030871604254723	27	53
PHF14	ENSP00000489535	0.9973324374037679	coad	0.0349867810445193	33	66
PHF11	ENSP00000367570	0.9973324374037679	coad	0.1511179045355242	11	21
PHF10	ENSP00000341805	0.9973324374037679	coad	-0.10550623194187342	30	54
PHF1	ENSP00000363640	0.9973324374037679	coad	-0.02752560321524694	26	61
PHC2	ENSP00000257118	0.9973324374037679	coad	0.054467692241132695	30	57
PHB2	ENSP00000441875	0.9973324374037679	coad	-0.0103451626974745	33	66
PHB	ENSP00000300408	0.9973324374037679	coad	-0.01046639928370812	33	66
PHACTR4	ENSP00000362942	0.9973324374037679	coad	-0.07696225537786863	26	53
PHACTR2	ENSP00000356556	0.9973324374037679	coad	0.041391089380610674	30	50
PGS1	ENSP00000262764	0.9973324374037679	coad	-0.11297362940047889	8	12
PGRMC2	ENSP00000296425	0.9973324374037679	coad	0.02807435250424417	33	66
PFN2	ENSP00000239940	0.9973324374037679	coad	0.057381347289212625	33	66
PGP	ENSP00000330918	0.9973324374037679	coad	0.00875101074552935	33	66
PGM3	ENSP00000421565	0.9973324374037679	coad	0.030321146664732027	33	66
PGM2L1	ENSP00000298198	0.9973324374037679	coad	0.01185958687895941	33	66
PGM2	ENSP00000371393	0.9973324374037679	coad	-0.045439437587189685	33	66
PGLYRP2	ENSP00000292609	0.9973324374037679	coad	-0.08159353450616741	33	66
PGLYRP1	ENSP00000008938	0.9973324374037679	coad	0.042852997947543325	29	58
PGLS	ENSP00000252603	0.9973324374037679	coad	0.05772520272958591	33	66
PGK2	ENSP00000305995	0.9973324374037679	coad	-0.03298245864232709	30	51
PGGT1B	ENSP00000404676	0.9973324374037679	coad	0.027753566496882015	33	66
PGD	ENSP00000270776	0.9973324374037679	coad	-0.011315272836153356	33	66
PGAP4	ENSP00000363980	0.9973324374037679	coad	0.12278720600504994	7	17
PGAM5	ENSP00000438465	0.9973324374037679	coad	-0.016458968384363504	33	66
PGAM1	ENSP00000359991	0.9973324374037679	coad	0.033350055810066365	33	66
PGM5	ENSP00000379678	0.9973324374037679	coad	0.15769466774399554	33	66
PELO	ENSP00000274311	0.9973324374037679	coad	0.060029056320015366	33	66
PEF1	ENSP00000362807	0.9973324374037679	coad	0.05991769283418566	33	66
PECR	ENSP00000265322	0.9973324374037679	coad	0.026190107817078978	33	66
PDHB	ENSP00000307241	0.9973324374037679	coad	0.01625459106303051	33	66
PDGFRB	ENSP00000261799	0.9973324374037679	coad	-0.04051190670589712	33	66
PDGFRA	ENSP00000257290	0.9973324374037679	coad	-0.04208632304495649	11	9
PDGFA	ENSP00000346508	0.9973324374037679	coad	0.07903116740794108	6	6
PDF	ENSP00000288022	0.9973324374037679	coad	0.03107670424735131	28	63
PDE8A	ENSP00000311453	0.9973324374037679	coad	-0.24961275151047713	4	14
PDE5A	ENSP00000347046	0.9973324374037679	coad	0.051421988393385576	33	66
PDE4DIP	ENSP00000316434	0.9973324374037679	coad	-0.04020989462509407	30	60
PDE4D	ENSP00000424852	0.9973324374037679	coad	0.07538233715443432	33	66
PDE3A	ENSP00000351957	0.9973324374037679	coad	-0.02024118742188402	33	66
PDE2A	ENSP00000411657	0.9973324374037679	coad	0.39562641796620435	14	20
PDE12	ENSP00000309142	0.9973324374037679	coad	0.04539546700640519	33	66
PDHX	ENSP00000227868	0.9973324374037679	coad	-0.010425861099186709	33	66
PDCL3	ENSP00000264254	0.9973324374037679	coad	0.09039175452065062	33	66
PDCD6IP	ENSP00000411825	0.9973324374037679	coad	0.0042434309879320065	33	66
PDCD6	ENSP00000264933	0.9973324374037679	coad	0.06766739313289344	33	66
PDCD5	ENSP00000466214	0.9973324374037679	coad	0.05344290725509385	33	66
PDCD4	ENSP00000280154	0.9973324374037679	coad	-0.05643251358909668	33	66
PDCD2L	ENSP00000246535	0.9973324374037679	coad	-0.16304471255806882	18	35
PDCD2	ENSP00000375940	0.9973324374037679	coad	-0.1154745652602942	9	16
PDCD11	ENSP00000358812	0.9973324374037679	coad	0.021615245343139133	33	66
PDCD10	ENSP00000376506	0.9973324374037679	coad	-0.014356838539781144	33	66
PCYT2	ENSP00000442050	0.9973324374037679	coad	0.05235402413719488	33	66
PCYT1A	ENSP00000292823	0.9973324374037679	coad	-0.02341928019936644	33	66
PCYOX1L	ENSP00000274569	0.9973324374037679	coad	0.051811769120120754	21	38
PCYOX1	ENSP00000387654	0.9973324374037679	coad	-0.024787614890887766	33	66
PDCL	ENSP00000259467	0.9973324374037679	coad	-0.00868518072459043	31	61
PDIA3	ENSP00000300289	0.9973324374037679	coad	0.08155049116820855	33	66
PDIA4	ENSP00000286091	0.9973324374037679	coad	0.10742318171978923	18	40
PDIA4	ENSP00000499129	0.9973324374037679	coad	0.010879324822619774	33	66
PECAM1	ENSP00000457421	0.9973324374037679	coad	0.005950124939522239	33	66
PEBP1	ENSP00000261313	0.9973324374037679	coad	0.15370110176467766	33	66
PEAK1	ENSP00000309230	0.9973324374037679	coad	-0.048271598052229026	24	44
PEA15	ENSP00000357055	0.9973324374037679	coad	0.10028656267253439	33	66
PDZK1IP1	ENSP00000294338	0.9973324374037679	coad	0.069071727648025	20	39
PDZK1	ENSP00000342143	0.9973324374037679	coad	0.29209861404844384	6	8
PDZD8	ENSP00000334642	0.9973324374037679	coad	-0.0870477699374257	31	55
PDXK	ENSP00000291565	0.9973324374037679	coad	0.020457234976751656	33	66
PDXDC1	ENSP00000379691	0.9973324374037679	coad	0.017761965500855213	33	66
PDSS2	ENSP00000358033	0.9973324374037679	coad	-0.22555980182782254	29	57
PDS5B	ENSP00000313851	0.9973324374037679	coad	-0.023699867843465866	33	66
PDS5A	ENSP00000303427	0.9973324374037679	coad	-0.024287991801565822	33	66
