,gain,neutral,loss
AC002310.5,4,102,3
AC002331.1,4,101,4
AC002347.1,6,85,18
AC002347.2,6,85,18
AC002350.1,3,102,4
AC002351.1,3,102,4
AC002366.1,2,84,23
AC002367.1,1,87,21
AC002368.1,18,85,6
AC002375.1,3,102,4
AC002377.1,19,86,4
AC002378.1,17,89,3
AC002381.1,28,74,7
AC002383.1,32,74,3
AC002386.1,25,76,8
AC002398.1,14,87,8
AC002398.2,14,87,8
AC002400.1,4,102,3
AC002401.1,19,90,0
AC002401.2,19,90,0
AC002401.3,19,90,0
AC002401.4,19,90,0
AC002407.1,18,88,3
AC002428.1,2,78,29
AC002428.2,2,78,29
AC002429.1,34,72,3
AC002429.2,34,72,3
AC002451.1,34,72,3
AC002451.2,34,72,3
AC002454.1,34,73,2
AC002456.1,32,75,2
AC002456.2,32,75,2
AC002458.1,34,73,2
AC002460.1,1,88,20
AC002460.2,1,89,19
AC002463.1,18,82,9
AC002464.1,2,97,10
AC002465.1,16,82,11
AC002465.2,16,82,11
AC002467.1,27,76,6
AC002470.1,20,81,8
AC002470.2,20,81,8
AC002472.1,19,82,8
AC002472.2,20,81,8
AC002472.3,19,82,8
AC002472.4,19,82,8
AC002480.1,29,79,1
AC002480.2,28,79,2
AC002486.1,29,79,1
AC002486.2,29,79,1
AC002487.1,26,76,7
AC002504.1,3,86,20
AC002511.1,13,88,8
AC002511.2,13,88,8
AC002511.3,13,88,8
AC002519.1,5,101,3
AC002519.2,5,101,3
AC002524.1,2,85,22
AC002525.1,5,76,28
AC002529.1,15,82,12
AC002540.1,34,72,3
AC002542.1,16,82,11
AC002542.2,16,82,11
AC002543.1,16,82,11
AC002545.1,13,94,2
AC002546.1,14,94,1
AC002550.1,4,101,4
AC002550.2,4,101,4
AC002551.1,5,100,4
AC002553.1,7,81,21
AC002553.2,7,81,21
AC002558.1,19,90,0
AC002558.2,19,90,0
AC002558.3,19,90,0
AC002563.1,4,101,4
AC002984.1,15,86,8
AC002985.1,6,93,10
AC002996.1,3,102,4
AC003001.1,11,91,7
AC003001.2,11,91,7
AC003002.1,9,94,6
AC003002.2,9,94,6
AC003002.3,9,94,6
AC003005.1,9,93,7
AC003005.2,9,93,7
AC003006.1,10,93,6
AC003009.1,4,100,5
AC003035.1,2,86,21
AC003035.2,2,86,21
AC003043.1,18,91,0
AC003043.2,18,91,0
AC003044.1,28,80,1
AC003045.1,16,82,11
AC003070.1,18,91,0
AC003070.2,18,91,0
AC003070.7,18,91,0
AC003071.1,18,88,3
AC003071.2,18,88,3
AC003072.1,17,88,4
AC003077.1,18,82,9
AC003080.1,18,81,10
AC003084.1,16,81,12
AC003086.1,34,73,2
AC003087.1,28,80,1
AC003092.1,34,71,4
AC003092.2,34,71,4
AC003093.1,28,80,1
AC003098.1,18,91,0
AC003101.1,17,90,2
AC003101.2,17,90,2
AC003101.3,17,90,2
AC003102.1,18,91,0
AC003112.1,7,93,9
AC003659.1,1,87,21
AC003665.1,17,92,0
AC003666.1,2,84,23
AC003669.1,4,84,21
AC003681.1,17,88,4
AC003682.1,10,93,6
AC003684.1,1,84,24
AC003685.1,1,84,24
AC003685.2,1,84,24
AC003686.1,3,99,7
AC003687.1,12,94,3
AC003688.1,7,86,16
AC003688.2,7,86,16
AC003950.1,16,91,2
AC003956.1,10,89,10
AC003957.1,12,81,16
AC003958.1,16,92,1
AC003958.2,16,92,1
AC003965.1,4,99,6
AC003965.2,4,99,6
AC003973.1,3,95,11
AC003973.2,3,94,12
AC003975.1,9,85,15
AC003982.1,3,102,4
AC003984.1,30,76,3
AC003985.1,27,80,2
AC003986.1,30,78,1
AC003986.2,30,78,1
AC003986.3,30,78,1
AC003988.1,27,80,2
AC003989.1,19,79,11
AC003989.2,19,80,10
AC003991.1,33,74,2
AC003991.2,33,74,2
AC003992.1,16,81,12
AC004000.1,19,85,5
AC004004.1,4,94,11
AC004006.1,28,79,2
AC004009.1,28,80,1
AC004009.2,28,80,1
AC004009.3,28,80,1
AC004012.1,34,72,3
AC004014.1,25,76,8
AC004014.2,25,76,8
AC004022.1,34,72,3
AC004022.2,34,72,3
AC004023.1,30,77,2
AC004024.1,3,102,4
AC004034.1,5,98,6
AC004039.1,2,78,29
AC004047.1,0,92,17
AC004052.1,0,92,17
AC004053.1,1,91,17
AC004054.1,2,89,18
AC004057.1,1,91,17
AC004062.1,1,91,17
AC004063.1,1,91,17
AC004066.1,0,92,17
AC004066.2,0,92,17
AC004067.1,1,91,17
AC004069.1,0,92,17
AC004069.2,0,92,17
AC004074.1,11,89,9
AC004076.1,9,93,7
AC004076.2,9,93,7
AC004080.1,28,80,1
AC004080.2,28,80,1
AC004080.3,28,80,1
AC004080.4,28,80,1
AC004080.5,28,80,1
AC004080.6,28,80,1
AC004080.7,28,80,1
AC004083.1,41,65,3
AC004086.1,3,102,4
AC004112.1,18,82,9
AC004129.1,27,81,1
AC004129.2,27,81,1
AC004129.3,27,80,2
AC004130.1,29,79,1
AC004134.1,14,94,1
AC004147.1,11,96,2
AC004147.2,11,96,2
AC004147.3,11,96,2
AC004147.4,11,96,2
AC004147.5,11,96,2
AC004148.1,8,86,15
AC004148.2,8,86,15
AC004151.1,2,87,20
AC004156.1,3,87,19
AC004156.2,3,87,19
AC004158.1,11,90,8
AC004160.1,28,80,1
AC004160.2,27,80,2
AC004217.1,3,102,4
AC004217.2,3,102,4
AC004221.1,3,87,19
AC004223.1,13,95,1
AC004223.2,13,95,1
AC004223.3,13,95,1
AC004223.4,14,94,1
AC004224.1,4,100,5
AC004224.2,4,100,5
AC004231.1,17,91,1
AC004231.3,16,92,1
AC004232.1,4,99,6
AC004232.2,4,99,6
AC004233.1,5,98,6
AC004233.2,5,98,6
AC004233.3,5,98,6
AC004241.1,3,99,7
AC004241.2,3,99,7
AC004241.3,3,99,7
AC004241.4,3,100,6
AC004241.5,3,99,7
AC004253.1,16,91,2
AC004253.2,16,91,2
AC004257.1,10,90,9
AC004263.1,3,102,4
AC004263.2,3,102,4
AC004264.1,17,88,4
AC004264.2,17,88,4
AC004381.1,4,100,5
AC004381.2,4,100,5
AC004381.3,4,100,5
AC004383.1,18,88,3
AC004386.1,11,89,9
AC004386.2,11,89,9
AC004408.1,18,90,1
AC004408.2,18,90,1
AC004415.1,27,80,2
AC004448.1,12,81,16
AC004448.2,12,81,16
AC004448.3,12,81,16
AC004448.4,13,80,16
AC004449.1,3,87,19
AC004453.1,25,84,0
AC004453.2,24,85,0
AC004461.1,17,84,8
AC004461.2,17,84,8
AC004464.1,9,94,6
AC004466.1,3,100,6
AC004466.2,3,100,6
AC004466.3,3,100,6
AC004467.1,2,84,23
AC004470.1,3,86,20
AC004471.1,18,83,8
AC004471.2,18,83,8
AC004475.1,6,93,10
AC004477.1,17,92,0
AC004477.2,18,91,0
AC004477.3,18,91,0
AC004485.1,28,80,1
AC004486.1,3,99,7
AC004490.1,2,88,19
AC004491.1,21,85,3
AC004492.1,28,76,5
AC004494.1,4,100,5
AC004494.2,4,100,5
AC004522.1,34,71,4
AC004522.2,34,71,4
AC004522.3,34,71,4
AC004522.4,34,71,4
AC004528.1,3,87,19
AC004528.2,3,87,19
AC004540.1,28,80,1
AC004540.2,28,80,1
AC004542.1,16,88,5
AC004542.2,16,88,5
AC004543.1,29,79,1
AC004549.1,28,80,1
AC004551.1,3,102,4
AC004551.2,3,102,4
AC004552.1,3,86,20
AC004554.1,2,84,23
AC004554.2,2,84,23
AC004584.1,17,90,2
AC004584.2,16,91,2
AC004584.3,16,91,2
AC004585.1,16,92,1
AC004585.2,16,92,1
AC004590.1,18,91,0
AC004593.1,27,81,1
AC004593.2,27,81,1
AC004593.3,27,81,1
AC004594.1,14,83,12
AC004596.1,18,91,0
AC004597.1,11,90,8
AC004623.1,3,87,19
AC004637.1,3,88,18
AC004672.1,26,77,6
AC004672.2,26,77,6
AC004674.1,2,85,22
AC004674.2,2,85,22
AC004678.1,2,87,20
AC004678.2,2,87,20
AC004687.1,16,91,2
AC004687.2,16,91,2
AC004687.3,16,91,2
AC004690.1,13,84,12
AC004690.2,13,84,12
AC004691.1,26,82,1
AC004691.2,26,82,1
AC004692.1,24,85,0
AC004692.2,24,85,0
AC004696.1,9,94,6
AC004696.2,9,94,6
AC004702.1,13,81,15
AC004704.1,2,90,17
AC004706.1,7,87,15
AC004706.2,7,87,15
AC004706.3,7,87,15
AC004707.1,18,91,0
AC004765.1,26,77,6
AC004771.1,7,86,16
AC004771.2,7,86,16
AC004771.3,7,86,16
AC004771.4,7,86,16
AC004771.5,7,86,16
AC004775.1,2,78,29
AC004777.1,2,77,30
AC004784.1,8,93,8
AC004790.1,9,92,8
AC004790.2,9,92,8
AC004792.1,9,94,6
AC004797.1,17,92,0
AC004801.1,3,99,7
AC004801.2,4,98,7
AC004801.3,3,99,7
AC004801.4,3,99,7
AC004801.5,3,99,7
AC004801.6,4,98,7
AC004801.7,3,99,7
AC004803.1,26,77,6
AC004805.1,13,94,2
AC004805.2,14,93,2
AC004805.3,13,94,2
AC004808.1,26,81,2
AC004808.2,26,81,2
AC004812.1,3,102,4
AC004812.2,3,102,4
AC004816.1,16,82,11
AC004816.2,16,82,11
AC004817.1,16,82,11
AC004817.2,16,82,11
AC004817.3,16,82,11
AC004817.4,16,82,11
AC004817.5,16,82,11
AC004825.1,16,82,11
AC004825.2,16,82,11
AC004825.3,16,82,11
AC004828.1,17,81,11
AC004828.2,17,81,11
AC004830.1,23,85,1
AC004832.1,17,88,4
AC004832.2,17,88,4
AC004832.3,17,88,4
AC004832.4,17,88,4
AC004832.5,17,88,4
AC004832.6,17,88,4
AC004834.1,35,70,4
AC004835.1,19,85,5
AC004835.2,19,85,5
AC004836.1,30,74,5
AC004837.1,24,84,1
AC004837.2,25,84,0
AC004837.3,24,84,1
AC004837.4,24,84,1
AC004839.1,27,75,7
AC004840.1,29,79,1
AC004840.2,29,79,1
AC004846.1,17,81,11
AC004846.2,17,81,11
AC004847.1,25,84,0
AC004852.1,28,79,2
AC004852.2,28,79,2
AC004852.3,28,79,2
AC004853.1,8,83,18
AC004854.1,25,84,0
AC004854.2,25,84,0
AC004858.1,17,81,11
AC004862.1,27,80,2
AC004863.1,11,79,19
AC004865.1,4,94,11
AC004865.2,4,94,11
AC004866.1,26,80,3
AC004866.2,26,80,3
AC004869.1,25,83,1
AC004869.2,25,83,1
AC004870.1,24,85,0
AC004870.2,24,85,0
AC004870.3,24,85,0
AC004870.4,24,85,0
AC004875.1,13,83,13
AC004877.1,8,83,18
AC004877.2,8,83,18
AC004879.1,27,79,3
AC004882.1,17,88,4
AC004882.2,17,88,4
AC004882.3,17,88,4
AC004884.1,31,73,5
AC004884.2,31,74,4
AC004888.1,14,82,13
AC004889.1,9,81,19
AC004890.1,8,83,18
AC004890.2,8,83,18
AC004890.3,8,83,18
AC004893.1,35,70,4
AC004893.2,35,70,4
AC004893.3,35,70,4
AC004895.1,30,78,1
AC004898.1,10,80,19
AC004899.1,23,85,1
AC004899.2,23,85,1
AC004900.1,16,82,11
AC004906.1,29,79,1
AC004908.1,5,67,37
AC004908.2,5,67,37
AC004908.3,5,67,37
AC004910.1,17,89,3
AC004911.1,8,82,19
AC004917.1,27,76,6
AC004918.1,9,83,17
AC004918.4,9,83,17
AC004920.1,23,85,1
AC004921.1,23,83,3
AC004921.2,25,81,3
AC004922.1,35,70,4
AC004923.1,23,82,4
AC004923.2,23,82,4
AC004923.3,23,82,4
AC004923.4,24,81,4
AC004925.1,13,82,14
AC004930.1,14,81,14
AC004936.1,27,79,3
AC004938.1,25,84,0
AC004938.2,25,84,0
AC004941.1,8,83,18
AC004941.2,8,83,18
AC004943.1,12,90,7
AC004943.2,10,91,8
AC004943.3,12,90,7
AC004944.1,3,68,38
AC004945.1,26,81,2
AC004946.1,15,83,11
AC004946.2,15,83,11
AC004947.1,27,81,1
AC004947.2,27,81,1
AC004947.3,27,81,1
AC004948.1,29,79,1
AC004949.1,27,80,2
AC004951.1,26,83,0
AC004951.2,26,83,0
AC004951.3,26,83,0
AC004951.4,26,83,0
AC004965.1,32,73,4
AC004967.1,34,72,3
AC004967.2,34,72,3
AC004969.1,33,74,2
AC004972.1,27,80,2
AC004973.1,19,85,5
AC004974.1,16,82,11
AC004975.1,10,80,19
AC004975.2,10,80,19
AC004980.1,24,81,4
AC004980.2,25,80,4
AC004980.3,26,79,4
AC004980.4,26,79,4
AC004982.1,29,79,1
AC004982.2,29,79,1
AC004986.1,14,83,12
AC004987.1,25,84,0
AC004987.2,25,84,0
AC004987.3,25,84,0
AC004987.4,25,84,0
AC004988.1,24,84,1
AC004990.1,26,81,2
AC004994.1,29,79,1
AC004997.1,17,88,4
AC005000.1,19,85,5
AC005000.2,19,86,4
AC005002.1,19,86,4
AC005002.2,19,86,4
AC005005.1,17,87,5
AC005005.2,16,88,5
AC005005.3,16,88,5
AC005005.4,16,88,5
AC005006.1,17,88,4
AC005008.1,26,80,3
AC005008.2,26,80,3
AC005009.1,29,77,3
AC005009.2,29,77,3
AC005011.1,18,86,5
AC005013.1,27,81,1
AC005014.1,29,79,1
AC005014.2,29,79,1
AC005014.3,29,79,1
AC005014.4,29,79,1
AC005019.1,31,77,1
AC005019.2,31,77,1
AC005020.1,34,71,4
AC005020.2,35,70,4
AC005021.1,34,72,3
AC005033.1,15,93,1
AC005034.1,14,94,1
AC005034.2,14,94,1
AC005034.3,14,94,1
AC005034.4,14,94,1
AC005034.5,14,94,1
AC005034.6,14,94,1
AC005037.1,9,92,8
AC005040.1,10,96,3
AC005040.2,10,96,3
AC005041.1,15,93,1
AC005041.2,15,93,1
AC005041.3,15,93,1
AC005041.4,15,93,1
AC005041.5,15,93,1
AC005042.1,8,95,6
AC005042.2,8,96,5
AC005042.3,8,96,5
AC005046.1,28,75,6
AC005050.1,29,74,6
AC005050.2,29,74,6
AC005050.3,30,73,6
AC005052.1,19,86,4
AC005052.2,19,86,4
AC005062.1,29,79,1
AC005064.1,34,71,4
AC005066.1,42,64,3
AC005070.1,31,74,4
AC005070.2,31,73,5
AC005070.3,32,73,4
AC005071.1,34,71,4
AC005072.1,31,74,4
AC005076.1,30,77,2
AC005077.1,23,83,3
AC005077.2,23,83,3
AC005077.3,23,83,3
AC005077.4,23,83,3
AC005081.1,19,87,3
AC005082.1,28,80,1
AC005082.2,28,80,1
AC005083.1,29,79,1
AC005084.1,28,80,1
AC005086.1,32,73,4
AC005086.2,32,73,4
AC005086.3,32,73,4
AC005086.4,32,73,4
AC005088.1,32,73,4
AC005089.1,22,84,3
AC005090.1,26,81,2
AC005091.1,28,80,1
AC005094.1,30,78,1
AC005096.1,32,73,4
AC005099.1,30,74,5
AC005100.1,27,80,2
AC005100.2,27,80,2
AC005102.1,21,85,3
AC005104.1,5,85,19
AC005104.2,5,86,18
AC005104.3,5,85,19
AC005105.1,27,80,2
AC005144.1,13,95,1
AC005153.1,23,85,1
AC005154.1,26,82,1
AC005154.2,26,82,1
AC005154.3,26,82,1
AC005154.4,26,82,1
AC005154.5,26,82,1
AC005156.1,35,72,2
AC005160.1,25,83,1
AC005162.1,27,81,1
AC005162.2,27,81,1
AC005162.3,27,81,1
AC005165.1,27,80,2
AC005165.2,27,80,2
AC005165.3,27,80,2
AC005176.1,10,91,8
AC005176.2,10,91,8
AC005178.1,2,78,29
AC005180.1,19,90,0
AC005180.2,19,90,0
AC005181.1,13,95,1
AC005183.1,25,78,6
AC005185.1,1,87,21
AC005186.1,3,101,5
AC005189.1,24,85,0
AC005191.1,18,87,4
AC005197.1,6,93,10
AC005208.1,13,95,1
AC005209.1,6,85,18
AC005220.1,14,91,4
AC005224.1,5,85,19
AC005224.2,5,85,19
AC005224.3,5,85,19
AC005225.1,16,81,12
AC005225.2,16,82,11
AC005225.3,16,81,12
AC005225.4,16,82,11
AC005229.1,8,83,18
AC005229.2,8,83,18
AC005229.3,8,83,18
AC005229.4,8,83,18
AC005229.5,8,83,18
AC005230.1,16,82,11
AC005232.1,27,81,1
AC005234.1,15,93,1
AC005234.2,15,93,1
AC005237.1,5,86,18
AC005237.2,5,86,18
AC005244.1,6,85,18
AC005244.2,6,85,18
AC005252.1,3,102,4
AC005252.2,3,102,4
AC005252.3,3,102,4
AC005252.4,3,102,4
AC005253.1,7,93,9
AC005253.2,7,93,9
AC005255.1,10,91,8
AC005255.2,10,91,8
AC005256.1,3,87,19
AC005258.1,2,88,19
AC005258.2,2,88,19
AC005261.1,9,94,6
AC005261.2,9,94,6
AC005261.3,9,94,6
AC005261.4,9,94,6
AC005261.5,9,94,6
AC005261.6,9,94,6
AC005262.1,2,88,19
AC005262.2,2,88,19
AC005264.1,2,88,19
AC005274.1,6,85,18
AC005277.1,6,85,18
AC005277.2,6,85,18
AC005280.1,17,81,11
AC005280.2,17,81,11
AC005280.3,17,81,11
AC005281.1,31,77,1
AC005288.1,18,90,1
AC005291.1,6,85,18
AC005291.2,6,85,18
AC005293.1,25,78,6
AC005294.1,10,97,2
AC005296.1,1,84,24
AC005297.1,1,88,20
AC005297.2,1,88,20
AC005297.3,1,88,20
AC005300.1,14,85,10
AC005301.1,16,84,9
AC005301.2,16,84,9
AC005303.1,6,85,18
AC005304.1,6,84,19
AC005304.2,6,84,19
AC005304.3,6,84,19
AC005306.1,2,87,20
AC005307.1,8,92,9
AC005323.1,6,85,18
AC005323.2,6,85,18
AC005324.1,7,83,19
AC005324.2,7,83,19
AC005324.3,6,84,19
AC005324.4,7,83,19
AC005324.5,6,84,19
AC005324.6,7,83,19
AC005326.1,35,71,3
AC005329.1,4,86,19
AC005329.2,3,87,19
AC005329.3,4,86,19
AC005330.1,3,87,19
AC005332.1,14,94,1
AC005332.2,14,94,1
AC005332.3,14,94,1
AC005332.4,14,94,1
AC005332.5,14,94,1
AC005332.6,14,94,1
AC005332.7,14,94,1
AC005336.1,9,92,8
AC005336.2,9,92,8
AC005336.3,9,92,8
AC005339.1,3,89,17
AC005341.1,14,94,1
AC005342.1,25,78,6
AC005342.2,25,78,6
AC005343.1,25,78,6
AC005343.4,25,78,6
AC005344.1,25,78,6
AC005345.1,1,87,21
AC005351.1,2,80,27
AC005355.1,2,79,28
AC005355.2,2,78,29
AC005357.1,8,90,11
AC005357.2,8,90,11
AC005358.1,6,85,18
AC005358.2,6,85,18
AC005363.1,4,98,7
AC005363.2,4,98,7
AC005377.1,9,83,17
AC005379.1,3,87,19
AC005381.1,8,92,9
AC005383.1,1,91,17
AC005387.1,7,93,9
AC005387.2,7,93,9
AC005391.1,3,87,19
AC005392.1,8,93,8
AC005392.2,7,95,7
AC005392.3,7,95,7
AC005393.1,11,92,6
AC005394.1,9,90,10
AC005394.2,9,90,10
AC005400.1,25,83,1
AC005410.1,6,85,18
AC005410.2,6,85,18
AC005412.1,18,89,2
AC005414.1,25,78,6
AC005476.1,16,81,12
AC005476.2,16,81,12
AC005479.1,17,81,11
AC005479.2,17,81,11
AC005480.1,17,82,10
AC005480.2,16,83,10
AC005481.1,10,80,19
AC005482.1,20,87,2
AC005486.1,8,83,18
AC005487.1,27,76,6
AC005495.1,14,93,2
AC005495.2,14,93,2
AC005498.1,9,94,6
AC005498.2,9,94,6
AC005498.3,9,94,6
AC005514.1,2,88,19
AC005515.1,10,91,8
AC005515.2,10,91,8
AC005518.1,8,82,19
AC005518.2,8,83,18
AC005519.1,17,81,11
AC005520.1,17,81,11
AC005520.2,16,82,11
AC005520.3,17,82,10
AC005520.4,17,81,11
AC005520.5,17,81,11
AC005521.1,13,82,14
AC005522.1,23,82,4
AC005523.1,3,88,18
AC005523.2,3,88,18
AC005524.1,9,90,10
AC005529.1,17,88,4
AC005531.1,10,82,17
AC005532.1,29,79,1
AC005532.2,29,79,1
AC005534.1,10,80,19
AC005534.2,10,80,19
AC005537.1,25,84,0
AC005538.1,4,87,18
AC005538.2,4,87,18
AC005538.3,4,87,18
AC005539.1,8,96,5
AC005540.1,10,95,4
AC005544.1,14,94,1
AC005544.2,14,94,1
AC005546.1,9,88,12
AC005548.1,6,85,18
AC005549.1,11,96,2
AC005550.1,29,79,1
AC005550.2,28,80,1
AC005551.1,2,88,19
AC005552.1,12,95,2
AC005559.1,3,87,19
AC005562.1,15,92,2
AC005562.2,15,92,2
AC005578.1,3,88,18
AC005580.1,8,92,9
AC005586.1,8,83,18
AC005586.2,8,83,18
AC005587.1,4,98,7
AC005588.1,8,82,19
AC005592.1,3,79,27
AC005592.2,3,79,27
AC005593.1,2,78,29
AC005594.1,3,88,18
AC005597.1,8,91,10
AC005599.1,3,76,30
AC005606.1,4,98,7
AC005606.2,4,98,7
AC005609.1,3,77,29
AC005609.2,3,78,28
AC005609.3,3,77,29
AC005609.4,3,77,29
AC005609.5,3,78,28
AC005614.1,11,92,6
AC005614.2,11,92,6
AC005616.1,8,92,9
AC005618.1,3,79,27
AC005618.2,3,79,27
AC005618.3,3,79,27
AC005618.4,3,79,27
AC005622.1,6,96,7
AC005625.1,14,88,7
AC005632.1,5,100,4
AC005632.2,6,99,4
AC005632.3,5,100,4
AC005632.4,5,100,4
AC005632.5,5,100,4
AC005666.1,16,91,2
AC005670.1,18,91,0
AC005670.2,18,91,0
AC005670.3,19,90,0
AC005674.1,4,74,31
AC005674.2,4,74,31
AC005682.1,29,79,1
AC005682.2,29,79,1
AC005691.1,12,95,2
AC005692.1,9,83,17
AC005692.2,9,83,17
AC005692.3,9,83,17
AC005695.1,7,86,16
AC005695.2,7,85,17
AC005695.3,7,85,17
AC005696.1,7,87,15
