,gain,neutral,loss
ACSM2A,23,82,4
ACSM2B,23,82,4
ACSM3,23,82,4
ACSM4,12,77,20
ACSM5,22,83,4
ACSM6,3,87,19
ACSS1,9,89,11
ACSS2,18,88,3
ACSS3,10,91,8
ACTA1,48,59,2
ACTA2,4,88,17
ACTB,47,60,2
ACTBL2,11,87,11
ACTC1,3,69,37
ACTG1,28,76,5
ACTG2,5,103,1
ACTL10,13,90,6
ACTL6A,12,85,12
ACTL6B,19,88,2
ACTL7A,2,84,23
ACTL7B,2,84,23
ACTL8,8,88,13
ACTL9,5,77,27
ACTN1,14,91,4
ACTN2,47,60,2
ACTN3,18,90,1
ACTN4,9,88,12
ACTR10,24,83,2
ACTR1A,5,84,20
ACTR1B,8,99,2
ACTR2,4,104,1
ACTR3,5,101,3
ACTR3B,19,86,4
ACTR3C,19,88,2
ACTR5,14,86,9
ACTR6,12,90,7
ACTR8,1,77,31
ACTRT1,33,69,7
ACTRT2,9,91,9
ACTRT3,15,87,7
ACVR1,6,98,5
ACVR1B,8,93,8
ACVR1C,6,98,5
ACVR2A,4,100,5
ACVR2B,0,80,29
ACVRL1,8,93,8
ACY1,0,78,31
ACY3,20,88,1
ACYP1,12,93,4
ACYP2,4,103,2
ADA,16,85,8
ADAD1,4,91,14
ADAD2,12,76,21
ADAL,3,73,33
ADAM10,3,78,28
ADAM11,23,83,3
ADAM12,3,88,18
ADAM15,58,50,1
ADAM17,4,103,2
ADAM18,9,74,26
ADAM19,17,83,9
ADAM2,9,74,26
ADAM20,13,92,4
ADAM21,13,92,4
ADAM22,21,86,2
ADAM23,3,101,5
ADAM28,3,69,37
ADAM29,2,92,15
ADAM30,9,86,14
ADAM32,9,73,27
ADAM33,10,85,14
ADAM7,3,69,37
ADAM8,3,89,17
ADAM9,9,73,27
ADAMDEC1,3,69,37
ADAMTS1,7,91,11
ADAMTS10,5,77,27
ADAMTS12,40,69,0
ADAMTS13,2,86,21
ADAMTS14,5,89,15
ADAMTS15,13,86,10
ADAMTS16,48,61,0
ADAMTS17,4,75,30
ADAMTS18,12,78,19
ADAMTS19,9,85,15
ADAMTS2,20,82,7
ADAMTS20,7,96,6
ADAMTS3,7,96,6
ADAMTS4,57,51,1
ADAMTS5,7,91,11
ADAMTS6,7,88,14
ADAMTS7,4,77,28
ADAMTS8,13,86,10
ADAMTS9,3,76,30
ADAMTSL1,6,67,36
ADAMTSL2,2,86,21
ADAMTSL3,3,78,28
ADAMTSL4,60,48,1
ADAMTSL5,4,78,27
ADAP1,45,62,2
ADAP2,15,85,9
ADAR,58,50,1
ADARB1,9,89,11
ADARB2,6,90,13
ADAT1,14,78,17
ADAT2,4,80,25
ADAT3,4,79,26
ADCK1,13,92,4
ADCK2,17,88,4
ADCK5,38,70,1
ADCY1,41,66,2
ADCY10,51,57,1
ADCY2,48,61,0
ADCY3,4,102,3
ADCY4,19,87,3
ADCY5,11,85,13
ADCY6,8,95,6
ADCY7,17,83,9
ADCY8,40,67,2
ADCY9,24,82,3
ADCYAP1,9,79,21
ADCYAP1R1,43,64,2
ADD1,5,92,12
ADD2,5,103,1
ADD3,4,86,19
ADGB,3,80,26
ADGRA1,3,88,18
ADGRA2,10,70,29
ADGRA3,5,96,8
ADGRB1,39,69,1
ADGRB2,11,90,8
ADGRB3,5,82,22
ADGRD1,8,92,9
ADGRD2,0,89,20
ADGRE1,4,79,26
ADGRE2,3,81,25
ADGRE3,3,80,26
ADGRE5,3,80,26
ADGRF1,11,93,5
ADGRF2,12,93,4
ADGRF3,5,103,1
ADGRF4,12,93,4
ADGRF5,12,92,5
ADGRG1,15,84,10
ADGRG2,22,79,8
ADGRG3,15,83,11
ADGRG4,38,66,5
ADGRG5,15,84,10
ADGRG6,4,80,25
ADGRG7,8,89,12
ADGRL1,3,80,26
ADGRL2,3,88,18
ADGRL3,5,96,8
ADGRL4,4,87,18
ADGRV1,10,81,18
ADH1A,2,92,15
ADH1B,2,92,15
ADH1C,2,92,15
ADH4,2,92,15
ADH5,2,92,15
ADH6,2,92,15
ADH7,2,92,15
ADHFE1,31,76,2
ADI1,2,105,2
ADIG,14,86,9
ADIPOQ,11,86,12
ADIPOR1,49,58,2
ADIPOR2,10,80,19
ADIRF,4,88,17
ADK,6,88,15
ADM,7,94,8
ADM2,3,74,32
ADM5,3,84,22
ADNP,17,89,3
ADNP2,1,72,36
ADO,3,91,15
ADORA1,49,58,2
ADORA2A,7,78,24
ADORA2B,2,65,42
ADORA3,2,83,24
ADPGK,3,77,29
ADPRH,11,85,13
ADPRHL1,4,78,27
ADPRHL2,11,90,8
ADPRM,2,66,41
ADRA1A,3,68,38
ADRA1B,19,82,8
ADRA1D,10,85,14
ADRA2A,5,85,19
ADRA2B,9,99,1
ADRA2C,4,93,12
ADRB1,5,85,19
ADRB2,14,85,10
ADRB3,10,70,29
ADRM1,26,80,3
ADSL,3,79,27
ADSS,46,60,3
ADSSL1,16,90,3
ADTRP,12,92,5
AEBP1,41,66,2
AEBP2,11,76,22
AEN,3,77,29
AES,4,81,24
AF165138.7,10,84,15
AFAP1,4,94,11
AFAP1L1,14,85,10
AFAP1L2,5,86,18
AFDN,2,81,26
AFF1,3,94,12
AFF2,40,64,5
AFF3,7,100,2
AFF4,9,86,14
AFG3L2,8,83,18
AFM,6,97,6
AFMID,26,78,5
AFP,6,97,6
AFTPH,5,103,1
AGA,2,91,16
AGAP1,5,98,6
AGAP2,15,89,5
AGAP3,18,89,2
AGAP4,2,95,12
AGAP5,5,90,14
AGAP6,2,92,15
AGAP9,3,94,12
AGBL1,3,77,29
AGBL2,12,91,6
AGBL3,18,87,4
AGBL4,7,89,13
AGBL5,4,104,1
AGER,14,91,4
AGFG1,3,100,6
AGFG2,19,88,2
AGGF1,7,86,16
AGK,16,89,4
AGL,2,85,22
AGMAT,9,86,14
AGMO,47,60,2
AGO1,10,91,8
AGO2,38,70,1
AGO3,11,90,8
AGO4,10,91,8
AGPAT1,14,91,4
AGPAT2,1,88,20
AGPAT3,10,87,12
AGPAT4,2,81,26
AGPAT5,3,67,39
AGPS,5,98,6
AGR2,46,61,2
AGR3,45,62,2
AGRN,8,91,10
AGRP,15,81,13
AGT,48,59,2
AGTPBP1,1,83,25
AGTR1,12,86,11
AGTR2,32,71,6
AGTRAP,8,88,13
AGXT,3,99,7
AGXT2,38,71,0
AHCTF1,48,58,3
AHCY,17,86,6
AHCYL1,2,83,24
AHCYL2,18,89,2
AHDC1,8,91,10
AHI1,4,81,24
AHNAK,6,96,7
AHNAK2,17,89,3
AHR,45,62,2
AHRR,48,61,0
AHSA1,13,92,4
AHSA2,4,103,2
AHSG,11,86,12
AHSP,24,82,3
AICDA,10,78,21
AIDA,46,62,1
AIF1,16,89,4
AIF1L,2,87,20
AIFM1,35,68,6
AIFM2,5,89,15
AIFM3,5,83,21
AIG1,4,80,25
AIM1,1,77,31
AIM1L,6,93,10
AIM2,55,52,2
AIMP1,3,92,14
AIMP2,47,60,2
AIP,20,88,1
AIPL1,2,65,42
AIRE,9,88,12
AJAP1,8,90,11
AJUBA,18,85,6
AK1,2,87,20
AK2,9,93,7
AK3,4,70,35
AK4,6,87,16
AK5,4,87,18
AK6,7,89,13
AK7,16,90,3
AK8,2,86,21
AK9,0,79,30
AKAIN1,7,81,21
AKAP1,25,80,4
AKAP10,5,70,34
AKAP11,2,69,38
AKAP12,3,79,27
AKAP13,3,77,29
AKAP14,32,71,6
AKAP17A,12,60,37
AKAP2,2,83,24
AKAP3,9,79,21
AKAP4,19,84,6
AKAP5,18,87,4
AKAP6,33,76,0
AKAP7,3,81,25
AKAP8,3,80,26
AKAP8L,3,80,26
AKAP9,19,87,3
AKIP1,7,95,7
AKIRIN1,11,91,7
AKIRIN2,0,80,29
AKNA,2,84,23
AKNAD1,2,85,22
AKR1A1,10,91,8
AKR1B1,18,87,4
AKR1B10,18,87,4
AKR1B15,18,87,4
AKR1C1,7,93,9
AKR1C2,8,92,9
AKR1C3,8,92,9
AKR1C4,7,94,8
AKR1D1,20,86,3
AKR1E2,7,93,9
AKR7A2,7,90,12
AKR7A3,7,90,12
AKT1,16,90,3
AKT1S1,2,85,22
AKT2,10,85,14
AKT3,46,60,3
AKTIP,16,82,11
AL359736.1,3,66,40
AL513523.2,58,50,1
ALAD,2,84,23
ALAS1,0,78,31
ALAS2,21,82,6
ALB,6,97,6
ALCAM,10,86,13
ALDH16A1,3,84,22
ALDH18A1,4,86,19
ALDH1A1,3,81,25
ALDH1A2,3,78,28
ALDH1A3,3,76,30
ALDH1B1,5,83,21
ALDH1L1,12,85,12
ALDH1L2,11,91,7
ALDH2,12,90,7
ALDH3A1,5,70,34
ALDH3A2,6,69,34
ALDH3B1,19,89,1
ALDH3B2,20,88,1
ALDH4A1,8,89,12
ALDH5A1,13,91,5
ALDH6A1,13,92,4
ALDH7A1,8,86,15
ALDH8A1,4,81,24
ALDH9A1,51,57,1
ALDOA,25,82,2
ALDOB,2,84,23
ALDOC,20,82,7
ALG1,24,83,2
ALG10,12,89,8
ALG10B,6,96,7
ALG11,2,68,39
ALG12,2,74,33
ALG13,32,71,6
ALG14,3,85,21
ALG1L,11,85,13
ALG1L2,20,78,11
ALG2,1,84,24
ALG3,12,86,11
ALG5,2,68,39
ALG6,6,87,16
ALG8,16,89,4
ALG9,10,88,11
ALK,4,103,2
ALKAL1,23,80,6
ALKAL2,2,106,1
ALKBH1,13,92,4
ALKBH2,11,91,7
ALKBH3,11,91,7
ALKBH4,20,86,3
ALKBH5,1,68,40
ALKBH6,13,85,11
ALKBH7,4,79,26
ALKBH8,6,93,10
ALLC,3,104,2
ALMS1,5,103,1
ALOX12,2,65,42
ALOX12B,2,66,41
ALOX15,4,65,40
ALOX15B,2,66,41
ALOX5,2,93,14
ALOX5AP,1,68,40
ALOXE3,2,66,41
ALPI,5,98,6
ALPK1,4,91,14
ALPK2,2,68,39
ALPK3,3,77,29
ALPL,6,92,11
ALPP,5,98,6
ALPPL2,5,98,6
ALS2,3,102,4
ALS2CL,0,78,31
ALS2CR11,3,102,4
ALS2CR12,3,102,4
ALX1,8,93,8
ALX3,2,83,24
ALX4,11,91,7
ALYREF,27,77,5
AMACR,39,70,0
AMBN,7,96,6
AMBP,3,84,22
AMBRA1,11,91,7
AMD1,0,79,30
AMDHD1,10,91,8
AMDHD2,24,82,3
AMELX,22,77,10
AMELY,12,51,46
AMER1,23,78,8
AMER2,2,67,40
AMER3,6,99,4
AMFR,16,84,9
AMH,5,78,26
AMHR2,7,94,8
AMIGO1,2,83,24
AMIGO2,8,95,6
AMIGO3,0,78,31
AMMECR1,32,71,6
AMMECR1L,6,99,4
AMN,14,92,3
AMN1,15,83,11
AMOT,32,71,6
AMOTL1,13,90,6
AMOTL2,12,84,13
AMPD1,4,85,20
AMPD2,2,83,24
AMPD3,7,94,8
AMPH,44,63,2
AMT,0,78,31
AMTN,7,96,6
AMY1A,3,81,25
AMY1B,3,82,24
AMY1C,3,81,25
AMY2A,2,83,24
AMY2B,3,80,26
AMZ1,47,60,2
AMZ2,27,79,3
ANAPC1,4,102,3
ANAPC10,5,93,11
ANAPC11,27,77,5
ANAPC13,13,84,12
ANAPC15,16,91,2
ANAPC16,5,90,14
ANAPC2,1,88,20
ANAPC4,5,96,8
ANAPC5,9,90,10
ANAPC7,12,90,7
ANG,18,84,7
ANGEL1,12,93,4
ANGEL2,47,61,1
ANGPT1,44,64,1
ANGPT2,2,65,42
ANGPT4,10,85,14
ANGPTL1,45,62,2
ANGPTL2,1,87,21
ANGPTL3,6,88,15
ANGPTL4,5,77,27
ANGPTL5,11,90,8
ANGPTL6,4,80,25
ANGPTL7,8,88,13
ANGPTL8,3,81,25
ANHX,14,87,8
ANK1,15,77,17
ANK2,3,92,14
ANK3,3,93,13
ANKAR,3,101,5
ANKDD1A,3,78,28
ANKDD1B,7,86,16
ANKEF1,11,84,14
ANKFN1,26,80,3
ANKFY1,4,64,41
ANKH,44,65,0
ANKHD1,10,87,12
ANKIB1,20,86,3
ANKK1,9,89,11
ANKLE1,4,80,25
ANKLE2,7,92,10
ANKMY1,3,99,7
ANKMY2,46,61,2
ANKRA2,7,86,16
ANKRD1,4,88,17
ANKRD10,7,79,23
ANKRD11,12,76,21
ANKRD12,8,80,21
ANKRD13A,11,91,7
ANKRD13B,16,84,9
ANKRD13C,5,89,15
ANKRD13D,21,87,1
ANKRD16,6,95,8
ANKRD17,6,97,6
ANKRD18A,5,83,21
ANKRD18B,6,85,18
ANKRD2,5,85,19
ANKRD20A1,3,86,20
ANKRD20A2,1,89,19
ANKRD20A3,3,86,20
ANKRD20A4,0,83,26
ANKRD22,4,88,17
ANKRD23,13,95,1
ANKRD24,5,80,24
ANKRD26,6,96,7
ANKRD27,11,87,11
ANKRD28,1,79,29
ANKRD29,5,78,26
ANKRD30A,5,98,6
ANKRD30B,6,83,20
ANKRD30BL,6,99,4
ANKRD31,7,86,16
ANKRD33,8,93,8
ANKRD33B,46,63,0
ANKRD34A,57,50,2
ANKRD34B,8,85,16
ANKRD34C,3,78,28
ANKRD35,57,50,2
ANKRD36,12,96,1
ANKRD36B,9,98,2
ANKRD36C,9,99,1
ANKRD37,4,86,19
ANKRD39,13,95,1
ANKRD40,28,79,2
ANKRD42,16,89,4
ANKRD44,3,102,4
ANKRD45,50,58,1
ANKRD46,45,63,1
ANKRD49,13,90,6
ANKRD50,4,91,14
ANKRD52,8,96,5
ANKRD53,5,103,1
ANKRD54,2,77,30
ANKRD55,12,86,11
ANKRD6,0,79,30
ANKRD60,26,79,4
ANKRD61,47,60,2
ANKRD62,9,81,19
ANKRD63,2,71,36
ANKRD65,9,90,10
ANKRD66,11,93,5
ANKRD7,18,87,4
ANKRD9,14,92,3
ANKS1A,8,97,4
ANKS1B,12,90,7
ANKS3,24,83,2
ANKS4B,22,83,4
ANKS6,1,84,24
ANKUB1,12,86,11
ANKZF1,3,101,5
ANLN,43,64,2
ANO1,21,87,1
ANO10,0,79,30
ANO2,9,79,21
ANO3,10,94,5
ANO4,12,90,7
ANO5,10,94,5
ANO6,7,96,6
ANO7,3,99,7
ANO8,4,80,25
ANO9,7,90,12
ANOS1,22,78,9
ANP32A,3,77,29
ANP32B,1,84,24
ANP32D,8,95,6
ANP32E,60,48,1
ANPEP,4,77,28
ANTXR1,5,103,1
ANTXR2,7,94,8
ANTXRL,2,94,13
ANXA1,3,81,25
ANXA10,1,93,15
ANXA11,4,89,16
ANXA13,42,65,2
ANXA2,3,78,28
ANXA2R,38,71,0
ANXA3,6,97,6
ANXA4,6,102,1
ANXA5,4,92,13
ANXA6,15,84,10
ANXA7,5,90,14
ANXA8,2,95,12
ANXA8L1,2,94,13
ANXA9,59,49,1
AOAH,43,64,2
AOC1,19,88,2
AOC2,24,82,3
AOC3,24,82,3
AOX1,3,102,4
AP000322.53,10,88,11
AP1AR,4,90,15
AP1B1,5,77,27
AP1G1,15,82,12
AP1G2,18,85,6
AP1M1,3,79,27
AP1M2,4,80,25
AP1S1,19,87,3
AP1S2,22,79,8
AP1S3,3,100,6
AP2A1,3,84,22
AP2A2,7,89,13
AP2B1,17,87,5
AP2M1,12,86,11
AP2S1,3,85,21
AP3B1,7,86,16
AP3B2,3,77,29
AP3D1,4,78,27
AP3M1,6,88,15
AP3M2,16,76,17
AP3S1,8,84,17
AP3S2,4,77,28
AP4B1,2,85,22
AP4E1,3,75,31
AP4M1,20,87,2
AP4S1,34,74,1
AP5B1,15,91,3
AP5M1,22,85,2
AP5S1,11,84,14
AP5Z1,46,61,2
APAF1,11,90,8
APBA1,4,80,25
APBA2,2,67,40
APBA3,4,81,24
APBB1,6,93,10
APBB1IP,6,96,7
APBB2,5,100,4
APBB3,10,87,12
APC,8,84,17
APC2,4,78,27
APCDD1,8,82,19
APCDD1L,26,79,4
APCS,56,51,2
APEH,0,78,31
APELA,2,91,16
APEX1,18,84,7
APEX2,21,82,6
APH1A,60,48,1
APH1B,3,78,28
API5,10,92,7
APIP,10,93,6
APLF,5,103,1
APLN,36,67,6
APLNR,6,97,6
APLP1,13,85,11
APLP2,12,87,10
APMAP,9,89,11
APOA1,11,86,12
APOA2,57,51,1
APOA4,11,86,12
APOA5,11,86,12
APOB,4,104,1
APOBEC1,11,77,21
APOBEC2,12,94,3
APOBEC3A,3,77,29
APOBEC3B,9,72,28
APOBEC3C,3,77,29
APOBEC3D,3,77,29
APOBEC3F,3,78,28
APOBEC3G,3,78,28
APOBEC3H,3,79,27
APOBEC4,46,61,2
APOBR,24,84,1
APOC1,7,89,13
APOC2,7,89,13
APOC3,11,86,12
APOC4,7,89,13
APOD,12,85,12
APOE,7,89,13
APOF,9,95,5
APOH,26,80,3
APOL1,2,76,31
APOL2,2,76,31
APOL3,2,76,31
APOL4,2,76,31
APOL5,1,78,30
APOL6,1,78,30
APOLD1,8,77,24
APOM,16,89,4
APOO,21,80,8
APOOL,23,77,9
APOPT1,14,92,3
APP,7,91,11
APPBP2,26,81,2
APPL1,1,77,31
APPL2,11,91,7
APRT,11,76,22
APTX,6,84,19
AQP1,43,64,2
AQP10,58,50,1
AQP11,16,89,4
AQP12A,3,99,7
AQP12B,3,99,7
AQP2,8,94,7
AQP3,7,84,18
AQP4,2,78,29
AQP5,8,94,7
AQP6,8,94,7
AQP7,7,84,18
AQP8,21,85,3
AQP9,3,78,28
AQR,3,69,37
AR,26,77,6
ARAF,23,80,6
ARAP1,16,90,3
ARAP2,5,99,5
ARAP3,11,87,11
ARC,39,69,1
ARCN1,10,87,12
AREG,6,97,6
AREL1,13,92,4
ARF1,47,60,2
ARF3,9,93,7
ARF4,1,77,31
ARF5,17,87,5
ARF6,26,82,1
ARFGAP1,29,78,2
ARFGAP2,11,92,6
ARFGAP3,3,76,30
ARFGEF1,28,77,4
ARFGEF2,14,90,5
ARFGEF3,4,81,24
ARFIP1,4,93,12
ARFIP2,6,93,10
ARFRP1,30,77,2
ARG1,3,81,25
ARG2,15,90,4
ARGFX,11,85,13
ARGLU1,6,78,25
ARHGAP1,11,91,7
ARHGAP10,6,92,11
ARHGAP11A,3,67,39
ARHGAP11B,2,67,40
ARHGAP12,6,98,5
ARHGAP15,5,99,5
ARHGAP17,20,86,3
ARHGAP18,2,81,26
ARHGAP19,5,86,18
ARHGAP20,11,90,8
ARHGAP21,5,96,8
ARHGAP22,5,91,13
ARHGAP23,25,79,5
ARHGAP24,4,94,11
ARHGAP25,4,104,1
ARHGAP26,12,87,10
ARHGAP27,25,81,3
ARHGAP28,7,80,22
ARHGAP29,4,83,22
ARHGAP30,57,51,1
ARHGAP31,11,85,13
ARHGAP32,12,87,10
ARHGAP33,13,85,11
ARHGAP35,2,86,21
ARHGAP36,36,67,6
ARHGAP39,38,70,1
ARHGAP4,40,65,4
ARHGAP40,14,86,9
ARHGAP42,11,90,8
ARHGAP44,1,68,40
ARHGAP45,4,80,25
ARHGAP5,32,77,0
ARHGAP6,23,78,8
ARHGAP8,2,75,32
ARHGAP9,12,92,5
ARHGDIA,27,77,5
ARHGDIB,6,78,25
ARHGDIG,23,82,4
ARHGEF1,4,90,15
ARHGEF10,6,64,39
ARHGEF10L,8,88,13
ARHGEF11,56,52,1
ARHGEF12,9,89,11
ARHGEF15,2,66,41
ARHGEF16,10,91,8
ARHGEF17,16,90,3
ARHGEF18,5,78,26
ARHGEF19,9,86,14
ARHGEF2,57,50,2
ARHGEF25,12,92,5
ARHGEF26,10,87,12
ARHGEF28,7,86,16
ARHGEF3,1,77,31
ARHGEF33,5,103,1
ARHGEF35,18,87,4
ARHGEF37,13,86,10
ARHGEF38,4,91,14
ARHGEF39,7,85,17
ARHGEF4,6,99,4
ARHGEF40,18,84,7
ARHGEF5,19,86,4
ARHGEF6,39,65,5
ARHGEF7,7,79,23
ARHGEF9,23,78,8
ARID1A,7,92,10
ARID1B,1,81,27
ARID2,7,96,6
ARID3A,4,80,25
ARID3B,3,78,28
ARID3C,5,86,18
ARID4A,24,83,2
ARID4B,47,60,2
ARID5A,10,98,1
ARID5B,4,92,13
ARIH1,3,77,29
ARIH2,0,79,30
ARIH2OS,0,79,30
ARL1,12,90,7
ARL10,19,82,8
ARL11,2,70,37
ARL13A,27,74,8
ARL13B,5,89,15
ARL14,11,86,12
ARL14EP,9,94,6
ARL14EPL,8,84,17
ARL15,12,85,12
ARL16,27,77,5
ARL17A,23,81,5
ARL17B,23,78,8
ARL2,10,93,6
ARL2BP,16,84,9
ARL3,5,84,20
ARL4A,45,62,2
ARL4C,5,98,6
ARL4D,24,82,3
ARL5A,4,99,6
ARL5B,7,93,9
ARL5C,27,79,3
ARL6,6,90,13
ARL6IP1,22,83,4
ARL6IP4,9,91,9
ARL6IP5,3,79,27
ARL6IP6,4,99,6
ARL8A,49,59,1
ARL8B,1,79,29
ARL9,6,95,8
ARMC1,29,77,3
ARMC10,18,88,3
ARMC12,11,94,4
ARMC2,0,79,30
ARMC3,6,95,8
ARMC4,5,98,6
ARMC5,26,80,3
ARMC6,3,82,24
ARMC7,29,77,3
ARMC8,14,83,12
ARMC9,5,98,6
ARMCX1,29,71,9
ARMCX2,29,71,9
ARMCX3,29,71,9
ARMCX4,28,72,9
ARMCX5,28,72,9
ARMCX6,29,71,9
ARMS2,3,89,17
ARMT1,2,80,27
ARNT,59,49,1
ARNT2,3,78,28
ARNTL,9,93,7
ARNTL2,16,81,12
ARPC1A,21,87,1
ARPC1B,20,88,1
ARPC2,3,101,5
ARPC3,12,90,7
ARPC4,0,80,29
ARPC5,46,61,2
ARPC5L,0,89,20
ARPIN,4,77,28
ARPP19,3,76,30
ARPP21,0,80,29
ARR3,23,79,7
ARRB1,17,89,3
ARRB2,4,65,40
ARRDC1,2,87,20
ARRDC2,5,79,25
ARRDC3,11,81,17
ARRDC4,3,75,31
ARRDC5,3,81,25
ARSA,3,76,30
ARSB,7,86,16
ARSD,19,78,12
ARSE,19,78,12
ARSF,19,78,12
ARSG,27,79,3
ARSH,19,78,12
ARSI,13,86,10
ARSJ,4,92,13
ARSK,8,84,17
ART1,6,91,12
ART3,6,97,6
ART4,6,78,25
ART5,6,91,12
ARTN,12,91,6
ARV1,48,59,2
ARVCF,7,81,21
ARX,18,80,11
AS3MT,5,84,20
ASAH1,3,69,37
ASAH2,2,94,13
ASAH2B,2,92,15
ASAP1,43,64,2
ASAP2,4,103,2
ASAP3,6,91,12
ASB1,3,100,6
ASB10,19,88,2
ASB11,23,78,8
ASB12,23,78,8
ASB13,6,95,8
ASB14,1,77,31
ASB15,17,87,5
ASB16,22,84,3
ASB17,4,86,19
ASB18,3,100,6
ASB2,16,89,4
ASB3,3,105,1
ASB4,18,88,3
ASB5,2,91,16
ASB6,1,87,21
ASB7,3,76,30
ASB8,8,95,6
ASB9,23,78,8
ASCC1,5,90,14
ASCC2,5,78,26
ASCC3,1,76,32
