protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
RBBP9	ENSP00000336866	0.9961139550228922	luad	0.0007815364571706757	31	70
ANPEP	ENSP00000300060	0.9961139550228922	luad	-0.0015129056979296118	31	70
FBXL6	ENSP00000330098	0.9961154215958086	luad	-0.0010201477688432659	28	64
PARVG	ENSP00000391453	0.9961154215958086	luad	0.0011677059889806714	31	70
NOMO3	ENSP00000263012	0.9961154215958086	luad	-0.003961473149498185	21	40
CLK4	ENSP00000316948	0.9961154215958086	luad	-0.002626385796102748	13	39
NMT2	ENSP00000367407	0.9961154215958086	luad	0.0008838495425184112	31	70
MYO1E	ENSP00000288235	0.9961154215958086	luad	0.0005929986055828174	31	70
AGFG1	ENSP00000312059	0.9961154215958086	luad	0.0004204969427804156	31	70
KMT2E	ENSP00000257745	0.9961154215958086	luad	0.0010575056425219933	31	70
MINDY4	ENSP00000265299	0.9961154215958086	luad	-0.0018566943921529966	31	69
TMEM128	ENSP00000372201	0.9961154215958086	luad	0.000979091455135344	31	70
MED8	ENSP00000290663	0.9961154215958086	luad	-0.0006968088037567766	31	70
ABCB10	ENSP00000355637	0.9961154215958086	luad	-0.0009355686297656193	29	68
FGGY	ENSP00000305922	0.9961154215958086	luad	-0.0009026167514918915	31	70
SUFU	ENSP00000358918	0.9961154215958086	luad	0.0009205108488828939	31	70
EHMT1	ENSP00000417980	0.9961154215958086	luad	0.0004724077073900365	31	70
SIPA1L1	ENSP00000351352	0.9961154215958086	luad	0.00042696481188719305	31	70
MED7	ENSP00000286317	0.9961154215958086	luad	-0.001161460072029108	31	70
VRK3	ENSP00000324636	0.9961154215958086	luad	-0.0013574666356496734	30	67
TRPV2	ENSP00000342222	0.9961154215958086	luad	0.0011859449874023764	31	70
C15orf39	ENSP00000353854	0.9961154215958086	luad	0.0016673683878175583	31	70
ITGAE	ENSP00000263087	0.9961154215958086	luad	0.0025168223026722503	29	68
CHORDC1	ENSP00000319255	0.9961154215958086	luad	-0.0005470716696083788	31	70
ZCCHC17	ENSP00000343557	0.9961154215958086	luad	-0.000993097141498589	30	67
CD247	ENSP00000375969	0.9961154215958086	luad	0.003258845060289589	13	33
MTCL1	ENSP00000305027	0.9961154215958086	luad	-0.0019065839188154854	31	70
UQCC1	ENSP00000363506	0.9961410054671959	luad	-0.0010165509829602737	31	70
KLC3	ENSP00000375810	0.9961410054671959	luad	0.0009010051813551634	31	70
BCR	ENSP00000303507	0.9961410054671959	luad	0.00048686988592126085	31	70
FETUB	ENSP00000265029	0.9961410054671959	luad	0.0015593383126927818	31	70
HLA-F	ENSP00000334263	0.9961410054671959	luad	-0.0013961411538070678	31	70
DAB2	ENSP00000313391	0.9961410054671959	luad	0.0009379682948362777	31	70
PGRMC2	ENSP00000296425	0.9964797270458482	luad	-0.0007699095168055281	31	70
PAG1	ENSP00000220597	0.9970253109127042	luad	0.0005901470056007552	31	70
FBXO11	ENSP00000384823	0.9970253109127042	luad	0.0006482704102759741	31	70
DUSP7	ENSP00000417183	0.9970253109127042	luad	-0.001665737627070396	17	32
KIAA0319L	ENSP00000318406	0.9970253109127042	luad	0.0005743099068087343	31	70
MUC15	ENSP00000397339	0.9970253109127042	luad	0.0029884383620606414	17	26
MARCHF6	ENSP00000274140	0.9970253109127042	luad	-0.0016171334463126186	29	63
DIP2C	ENSP00000489203	0.9970253109127042	luad	0.000596550301180887	31	70
LRRC8B	ENSP00000332674	0.9970253109127042	luad	0.0027081147010378226	5	15
ATP11B	ENSP00000321195	0.9970253109127042	luad	-0.000551289439938046	31	70
GMFB	ENSP00000350757	0.9970253109127042	luad	-0.0004750728935089821	31	70
DEPDC5	ENSP00000383107	0.9970253109127042	luad	-0.000675871719521548	31	70
ARHGEF2	ENSP00000314787	0.9970253109127042	luad	-0.00027728270703085076	31	70
ENTPD2	ENSP00000347213	0.9970253109127042	luad	-0.005924403385276583	4	8
PCDHGB5	ENSP00000478258	0.9970253109127042	luad	-0.0030292793585877664	10	19
APBB1	ENSP00000299402	0.9970253109127042	luad	-0.0005879023342877376	31	70
CUL3	ENSP00000264414	0.9970253109127042	luad	0.0003298568883424169	31	70
ADM	ENSP00000278175	0.9976150819016868	luad	0.0033624317546724902	7	13
RASSF8	ENSP00000282884	0.9976590151656222	luad	-0.0006723436557475315	31	70
FHL2	ENSP00000322909	0.9978152795471835	luad	-0.0008438723966195383	31	70
CIAO3	ENSP00000251588	0.9978152795471835	luad	0.0004200181916133583	31	70
CDC40	ENSP00000304370	0.9978152795471835	luad	0.0002783368938560349	31	70
CLIP4	ENSP00000327009	0.9978152795471835	luad	0.00136107069283109	23	59
GSTCD	ENSP00000353695	0.9978152795471835	luad	0.0004977035811552233	31	70
NMRK1	ENSP00000354387	0.9978152795471835	luad	0.00040106908494658144	31	70
BLMH	ENSP00000261714	0.9978204389294372	luad	0.00031273837401296634	31	70
HLA-DQB1	ENSP00000364080	0.9980807891169909	luad	-0.0023772728020158285	31	70
TRIM56	ENSP00000305161	0.9980807891169909	luad	-0.0002971690713834199	31	70
PHF11	ENSP00000367570	0.9980807891169909	luad	-0.0006713871645476488	31	70
MYOF	ENSP00000351094	0.9980807891169909	luad	0.0006896728002964946	31	70
MAPKAPK2	ENSP00000356070	0.9982218781388432	luad	-0.0002919950848104258	31	70
GAS2L1	ENSP00000478343	0.9982218781388432	luad	-0.001058982763977978	31	70
TRIM47	ENSP00000254816	0.9982218781388432	luad	0.00035230530596311316	31	70
MRPL33	ENSP00000296102	0.9982218781388432	luad	-0.0007413129772843585	29	68
STN1	ENSP00000224950	0.9982218781388432	luad	-0.0005343429505380998	31	70
SYDE2	ENSP00000340594	0.9982218781388432	luad	0.0009944828706030528	25	56
EBF1	ENSP00000322898	0.9982218781388432	luad	0.003424446070970366	6	18
CD38	ENSP00000226279	0.998447849536615	luad	-0.0007868768810572191	31	70
DXO	ENSP00000337759	0.998447849536615	luad	0.001023413356170566	27	58
ZSCAN21	ENSP00000292450	0.998447849536615	luad	-0.001412351006388049	10	21
IKZF2	ENSP00000342876	0.998447849536615	luad	-0.0006881528265821751	24	64
EPHA4	ENSP00000281821	0.998447849536615	luad	-0.0007841472416740825	26	66
TMEM70	ENSP00000312599	0.998447849536615	luad	0.000637771637189477	31	70
PRKAG2	ENSP00000287878	0.998447849536615	luad	-0.000466944601416025	31	70
NFIB	ENSP00000370321	0.998447849536615	luad	-0.0013936430158658641	13	32
MAPKAP1	ENSP00000265960	0.998447849536615	luad	-0.0002719029531989686	31	70
HPS1	ENSP00000326649	0.998447849536615	luad	0.0009109076637941194	31	70
ATAT1	ENSP00000365668	0.998447849536615	luad	0.0006987942550884391	31	70
PSMC3IP	ENSP00000377384	0.998447849536615	luad	0.002395390956987188	4	12
UBE4B	ENSP00000253251	0.998447849536615	luad	-0.00026511503665127556	31	70
GRAP	ENSP00000284154	0.998447849536615	luad	0.0006437358912599889	30	63
PPFIA3	ENSP00000335614	0.998447849536615	luad	0.0014669108379630758	16	38
TOMM40	ENSP00000252487	0.9984816309003173	luad	0.0004875542165273111	31	70
AKT1S1	ENSP00000341698	0.9984867851781161	luad	-0.00043291796089566653	31	70
SPPL2A	ENSP00000261854	0.9985394314557117	luad	-0.0006752525240604212	31	67
EIF5A2	ENSP00000295822	0.9985394314557117	luad	-0.0008127232980874588	27	66
CDC42EP2	ENSP00000279249	0.9989217738990466	luad	-0.00045334509231736986	31	70
PNPT1	ENSP00000400646	0.9989217738990466	luad	-0.0003522123356051732	31	70
SDHB	ENSP00000364649	0.9989217738990466	luad	-0.00037290528134475975	31	70
RRS1	ENSP00000322396	0.9989217738990466	luad	0.0003755631155614447	31	70
NUMBL	ENSP00000252891	0.9989217738990466	luad	0.0004924444842235726	31	70
PRDX3	ENSP00000298510	0.9989217738990466	luad	0.00039380583140094516	31	70
DSP	ENSP00000369129	0.9989217738990466	luad	0.0005567769282818213	31	70
DDX31	ENSP00000361226	0.9989705372319332	luad	0.0003658143890759545	31	70
SPAG5	ENSP00000323300	0.9989705372319332	luad	-0.0015235305499869956	27	59
SLC25A16	ENSP00000476815	0.9990753655501899	luad	0.00042789968917283927	31	70
FBLN7	ENSP00000331411	0.9991659663929979	luad	0.000537307051055258	31	70
SOWAHB	ENSP00000334879	0.9991659663929979	luad	-0.0006419848559194724	29	68
CNN3	ENSP00000359225	0.9991659663929979	luad	0.0002942448444016865	31	70
BCL7C	ENSP00000215115	0.9991659663929979	luad	-0.0002242508262862014	31	70
AGTPBP1	ENSP00000349592	0.9991659663929979	luad	0.000241577991992592	31	70
CCDC14	ENSP00000386866	0.9995483024525704	luad	0.0008225540984279356	20	48
COQ3	ENSP00000254759	0.9995483024525704	luad	0.00035027537870162273	31	70
EPHB2	ENSP00000363761	0.9995483024525704	luad	-0.0006249687559590211	31	69
TIMM9	ENSP00000378588	0.9995483024525704	luad	-0.0003506858532534851	31	70
AMDHD2	ENSP00000307481	0.9995483024525704	luad	0.0015275343078534342	11	21
LAMA2	ENSP00000400365	0.9995483024525704	luad	-0.0003360735935585557	31	70
MEOX2	ENSP00000262041	0.9995909704385385	luad	0.000917341312558051	11	9
CADPS2	ENSP00000400401	0.9995909704385385	luad	-0.00014632144389120638	31	70
SYNC	ENSP00000362583	0.9995909704385385	luad	0.00011958845734749701	31	70
CLGN	ENSP00000326699	0.9995909704385385	luad	-0.0005167007487565933	29	63
IFNGR1	ENSP00000356713	0.9995909704385385	luad	9.631081272734598e-05	31	70
KATNB1	ENSP00000368982	0.9995909704385385	luad	0.0001351126613603204	31	70
CNEP1R1	ENSP00000394224	0.9995909704385385	luad	0.0005074429036363501	26	55
ACAD10	ENSP00000389813	0.9995909704385385	luad	-0.00018387207222195223	31	70
RND3	ENSP00000263895	0.9995909704385385	luad	0.0001741793798149538	31	70
HOXA4	ENSP00000353151	0.9995909704385385	luad	-0.000889095376138252	6	10
RFX7	ENSP00000501317	0.9995909704385385	luad	0.0004932467867925228	27	60
SESN1	ENSP00000393762	0.9995909704385385	luad	0.0002936856704901514	31	70
PEX13	ENSP00000295030	0.9995909704385385	luad	0.0002747861328589729	31	70
SCFD2	ENSP00000384182	0.9995909704385385	luad	-0.00011483432626412104	31	70
ALG2	ENSP00000417764	0.9995909704385385	luad	9.453936035687394e-05	31	70
MTPN	ENSP00000376800	0.9995909704385385	luad	-0.00010483514071468747	31	70
GXYLT2	ENSP00000374268	0.9995909704385385	luad	-0.000569160061416718	15	25
GTDC1	ENSP00000339750	0.9995909704385385	luad	0.00014057877301251742	31	70
PDE6D	ENSP00000287600	0.9995909704385385	luad	-0.00018160731234466432	31	70
HSPA1L	ENSP00000364805	0.9995909704385385	luad	-0.0003819716472014123	31	70
IGFBP4	ENSP00000269593	0.9995909704385385	luad	-0.00020264640928633823	31	70
UCP2	ENSP00000312029	0.9995909704385385	luad	0.001476578791374361	4	12
GNAS	ENSP00000360143	0.9995909704385385	luad	0.0006534082496431337	30	66
SELENOF	ENSP00000328729	0.9995909704385385	luad	-0.00018755211377990966	31	70
