,gain,neutral,loss
ADCK1,5,60,40
ADCK2,30,55,20
ADCK3,16,84,5
ADCK4,12,72,21
ADCK5,56,44,5
ADCY1,62,42,1
ADCY10,25,75,5
ADCY10P1,38,65,2
ADCY2,30,68,7
ADCY3,12,70,23
ADCY4,16,61,28
ADCY5,11,92,2
ADCY6,10,71,24
ADCY7,16,79,10
ADCY8,60,41,4
ADCY9,9,68,28
ADCYAP1,3,42,60
ADCYAP1R1,65,39,1
ADD1,2,77,26
ADD2,18,85,2
ADD3,4,84,17
ADD3-AS1,4,84,17
ADGB,13,85,7
ADH1A,3,83,19
ADH1B,3,83,19
ADH1C,3,83,19
ADH4,3,83,19
ADH5,3,83,19
ADH6,3,83,19
ADH7,3,83,19
ADHFE1,44,50,11
ADI1,27,73,5
ADIG,68,35,2
ADIPOQ,14,87,4
ADIPOQ-AS1,14,87,4
ADIPOR1,17,83,5
ADIPOR2,27,67,11
ADIRF,1,69,35
ADK,3,52,50
ADM,21,79,5
ADM2,7,70,28
ADM5,14,65,26
ADNP,70,32,3
ADNP2,13,32,60
ADO,3,88,14
ADORA1,17,83,5
ADORA2A,3,71,31
ADORA2A-AS1,3,71,31
ADORA2B,0,43,62
ADORA3,6,84,15
ADPGK,0,69,36
ADPGK-AS1,0,71,34
ADPRH,11,92,2
ADPRHL1,65,38,2
ADPRHL2,1,58,46
ADPRM,1,43,61
ADRA1A,17,43,45
ADRA1B,10,80,15
ADRA1D,41,40,24
ADRA2A,7,81,17
ADRA2B,22,81,2
ADRA2C,4,76,25
ADRB1,1,86,18
ADRB2,22,76,7
ADRB3,23,52,30
ADRBK1,11,81,13
ADRBK2,2,74,29
ADRM1,72,33,0
ADSL,2,53,50
ADSS,17,75,13
ADSSL1,7,61,37
ADTRP,24,74,7
AEBP1,60,42,3
AEBP2,16,53,36
AEN,1,76,28
AES,7,53,45
AF064858.7,11,79,15
AFAP1,5,78,22
AFAP1-AS1,5,78,22
AFAP1L1,20,77,8
AFAP1L2,1,85,19
AFF1,2,77,26
AFF2,25,78,2
AFF3,17,82,6
AFF4,2,63,40
AFG3L1P,16,82,7
AFG3L2,4,36,65
AFM,13,74,18
AFMID,12,78,15
AFP,11,76,18
AFTPH,19,84,2
AGA,3,74,28
AGAP1,17,85,3
AGAP11,1,69,35
AGAP2,15,81,9
AGAP2-AS1,15,81,9
AGAP3,52,51,2
AGAP4,11,85,9
AGAP5,3,57,45
AGAP6,6,93,6
AGAP7,5,93,7
AGAP8,5,93,7
AGAP9,21,76,8
AGBL1,1,75,29
AGBL1-AS1,1,75,29
AGBL2,6,61,38
AGBL3,48,55,2
AGBL4,14,62,29
AGBL4-IT1,2,80,23
AGBL5,15,79,11
AGBL5-AS1,15,79,11
AGER,9,87,9
AGFG1,18,84,3
AGFG2,35,48,22
AGGF1,2,81,22
AGK,53,50,2
AGL,0,69,36
AGMAT,0,61,44
AGMO,66,38,1
AGO1,1,50,54
AGO2,52,44,9
AGO3,1,50,54
AGO4,1,50,54
AGPAT1,9,87,9
AGPAT2,18,76,11
AGPAT3,6,82,17
AGPAT4,14,84,7
AGPAT4-IT1,15,84,6
AGPAT5,17,44,44
AGPAT6,32,58,15
AGPAT9,2,68,35
AGPS,21,82,2
AGR2,66,38,1
AGR3,66,38,1
AGRN,4,79,22
AGRP,5,73,27
AGT,21,80,4
AGTPBP1,13,67,25
AGTR1,13,90,2
AGTR2,25,78,2
AGTRAP,0,63,42
AGXT,22,80,3
AGXT2,17,82,6
AHCTF1,17,67,21
AHCTF1P1,20,82,3
AHCY,65,31,9
AHCYL1,1,87,17
AHCYL2,33,59,13
AHDC1,1,50,54
AHI1,9,83,13
AHNAK,9,72,24
AHNAK2,7,60,38
AHR,67,37,1
AHRR,40,59,6
AHSA1,4,61,40
AHSA2,12,55,38
AHSG,14,87,4
AHSP,17,73,15
AICDA,13,65,27
AIDA,19,80,6
AIF1,9,87,9
AIF1L,13,65,27
AIFM1,25,78,2
AIFM2,3,85,17
AIFM3,4,70,31
AIG1,11,86,8
AIM1,10,79,16
AIM1L,1,53,51
AIM2,25,78,2
AIMP1,5,80,20
AIMP2,36,45,24
AIP,14,81,10
AIPL1,0,40,65
AIRE,7,81,17
AIRN,25,76,4
AJAP1,1,74,30
AJUBA,10,63,32
AK1,17,70,18
AK2,0,73,32
AK3,18,74,13
AK4,1,85,19
AK5,1,68,36
AK6,2,51,52
AK7,5,61,39
AK8,16,70,19
AK9,10,82,13
AKAP1,15,77,13
AKAP10,2,43,60
AKAP11,59,44,2
AKAP12,8,76,21
AKAP13,1,74,30
AKAP14,25,78,2
AKAP17A,25,78,2
AKAP2,15,77,13
AKAP3,25,73,7
AKAP4,25,78,2
AKAP5,4,61,40
AKAP6,9,66,30
AKAP7,10,86,9
AKAP8,6,59,40
AKAP8L,6,59,40
AKAP9,49,48,8
AKIP1,11,77,17
AKIRIN1,1,60,44
AKIRIN2,9,77,19
AKNA,18,77,10
AKNAD1,0,72,33
AKR1A1,0,65,40
AKR1B1,47,56,2
AKR1B10,47,56,2
AKR1B15,47,56,2
AKR1C1,27,74,4
AKR1C2,27,74,4
AKR1C3,26,75,4
AKR1C4,14,86,5
AKR1C6P,26,75,4
AKR1CL1,19,82,4
AKR1D1,37,47,21
AKR1E2,21,80,4
AKR7A2,0,71,34
AKR7A2P1,0,65,40
AKR7A3,2,70,33
AKR7L,2,70,33
AKT1,7,61,37
AKT1S1,15,65,25
AKT2,11,71,23
AKT3,18,79,8
AKTIP,10,80,15
AL109763.2,3,77,25
AL121656.5,15,79,11
AL592528.1,7,79,19
ALAD,16,74,15
ALAS1,7,91,7
ALAS2,25,78,2
ALB,8,79,18
ALCAM,12,90,3
ALDH16A1,12,66,27
ALDH18A1,1,82,22
ALDH1A1,16,80,9
ALDH1A2,6,69,30
ALDH1A3,3,74,28
ALDH1B1,17,79,9
ALDH1L1,21,82,2
ALDH1L1-AS1,21,82,2
ALDH1L1-AS2,21,82,2
ALDH1L2,15,86,4
ALDH2,6,60,39
ALDH3A1,3,42,60
ALDH3A2,3,42,60
ALDH3B1,14,83,8
ALDH3B2,17,81,7
ALDH4A1,0,69,36
ALDH5A1,19,72,14
ALDH6A1,1,49,55
ALDH7A1,2,63,40
ALDH8A1,9,78,18
ALDH9A1,25,76,4
ALDOA,17,70,18
ALDOB,27,69,9
ALDOC,14,74,17
ALG1,10,75,20
ALG10,16,83,6
ALG10B,15,86,4
ALG11,60,43,2
ALG12,3,73,29
ALG13,25,78,2
ALG14,3,86,16
ALG1L,20,83,2
ALG1L2,12,90,3
ALG1L9P,15,84,6
ALG2,15,79,11
ALG3,13,79,13
ALG5,56,47,2
ALG6,1,72,32
ALG8,8,75,22
ALG9,10,80,15
ALK,17,83,5
ALKBH1,4,60,41
ALKBH2,7,68,30
ALKBH3,16,86,3
ALKBH3-AS1,16,86,3
ALKBH4,37,54,14
ALKBH5,1,45,59
ALKBH6,15,62,28
ALKBH7,6,53,46
ALKBH8,8,75,22
ALLC,27,73,5
ALMS1,16,87,2
ALMS1-IT1,16,87,2
ALMS1P,16,87,2
ALOX12,1,41,63
ALOX12B,2,42,61
ALOX12P2,0,39,66
ALOX15,1,33,71
ALOX15B,2,42,61
ALOX15P1,0,40,65
ALOX5,11,88,6
ALOX5AP,58,47,0
ALOXE3,2,42,61
ALPI,17,82,6
ALPK1,3,75,27
ALPK2,2,36,67
ALPK3,1,73,31
ALPL,1,60,44
ALPP,19,83,3
ALPPL2,19,83,3
ALS2,15,76,14
ALS2CL,9,89,7
ALS2CR11,15,80,10
ALS2CR12,17,81,7
ALX1,14,87,4
ALX3,1,87,17
ALX4,16,86,3
ALYREF,18,81,6
AMACR,17,83,5
AMBN,2,71,32
AMBP,19,76,10
AMBRA1,8,67,30
AMD1,6,57,42
AMDHD1,11,80,14
AMDHD2,17,79,9
AMELX,25,78,2
AMELY,13,68,24
AMER1,25,78,2
AMER2,57,48,0
AMER3,18,82,5
AMFR,14,84,7
AMH,8,64,33
AMHR2,13,73,19
AMICA1,12,82,11
AMIGO1,2,82,21
AMIGO2,15,86,4
AMIGO3,7,62,36
AMMECR1,25,78,2
AMMECR1L,14,65,26
AMN,4,56,45
AMN1,11,56,38
AMOT,25,78,2
AMOTL1,22,77,6
AMOTL2,14,89,2
AMPD1,1,68,36
AMPD2,2,85,18
AMPD3,24,78,3
AMPH,67,37,1
AMT,6,52,47
AMTN,2,86,17
AMY1A,1,86,18
AMY1B,1,86,18
AMY1C,1,86,18
AMY2A,1,86,18
AMY2B,1,86,18
AMZ1,53,47,5
AMZ2,10,70,25
AMZ2P1,10,74,21
ANAPC1,22,81,2
ANAPC10,4,78,23
ANAPC11,18,81,6
ANAPC13,14,89,2
ANAPC15,14,83,8
ANAPC16,3,56,46
ANAPC1P1,17,85,3
ANAPC2,20,73,12
ANAPC4,4,59,42
ANAPC5,9,55,41
ANAPC7,6,65,34
ANG,9,63,33
ANGEL1,7,63,35
ANGEL2,17,78,10
ANGPT1,54,47,4
ANGPT2,17,43,45
ANGPT4,44,40,21
ANGPTL1,18,72,15
ANGPTL2,18,74,13
ANGPTL3,1,70,34
ANGPTL4,5,48,52
ANGPTL5,15,79,11
ANGPTL6,7,55,43
ANGPTL7,1,59,45
ANHX,25,72,8
ANK1,34,55,16
ANK2,2,66,37
ANK3,4,88,13
ANKAR,23,78,4
ANKDD1A,1,43,61
ANKDD1B,2,79,24
ANKEF1,47,43,15
ANKFN1,16,79,10
ANKFY1,1,33,71
ANKH,26,71,8
ANKHD1,8,79,18
ANKHD1-EIF4EBP3,8,79,18
ANKIB1,50,42,13
ANKK1,23,75,7
ANKLE1,6,62,37
ANKLE2,17,80,8
ANKMY1,22,80,3
ANKMY2,66,38,1
ANKRA2,4,84,17
ANKRD1,2,86,17
ANKRD10,73,31,1
ANKRD11,15,83,7
ANKRD12,5,36,64
ANKRD13A,8,67,30
ANKRD13B,8,62,35
ANKRD13C,1,67,37
ANKRD13D,11,81,13
ANKRD16,8,85,12
ANKRD17,4,79,22
ANKRD18A,17,79,9
ANKRD18B,17,77,11
ANKRD18DP,8,85,12
ANKRD19P,14,77,14
ANKRD2,1,80,24
ANKRD20A1,14,82,9
ANKRD20A11P,11,74,20
ANKRD20A12P,17,63,25
ANKRD20A19P,57,47,1
ANKRD20A2,16,80,9
ANKRD20A3,15,80,10
ANKRD20A4,14,82,9
ANKRD20A5P,5,45,55
ANKRD20A8P,23,81,1
ANKRD20A9P,59,44,2
ANKRD22,8,80,17
ANKRD23,18,85,2
ANKRD24,7,52,46
ANKRD26,5,78,22
ANKRD26P1,9,80,16
ANKRD26P3,53,48,4
ANKRD27,9,67,29
ANKRD28,6,88,11
ANKRD29,2,39,64
ANKRD30A,4,87,14
ANKRD30B,6,44,55
ANKRD30BL,22,77,6
ANKRD30BP2,11,74,20
ANKRD30BP3,12,87,6
ANKRD31,2,79,24
ANKRD32,3,80,22
ANKRD33,18,82,5
ANKRD33B,28,68,9
ANKRD34A,19,75,11
ANKRD34B,1,68,36
ANKRD34C,1,76,28
ANKRD35,19,77,9
ANKRD36,21,83,1
ANKRD36B,21,83,1
ANKRD36BP1,26,77,2
ANKRD36BP2,29,75,1
ANKRD37,5,71,29
ANKRD39,18,85,2
ANKRD40,12,76,17
ANKRD42,12,87,6
ANKRD44,20,78,7
ANKRD44-IT1,20,78,7
ANKRD45,23,62,20
ANKRD46,49,51,5
ANKRD49,16,81,8
ANKRD50,3,82,20
ANKRD52,16,70,19
ANKRD53,20,83,2
ANKRD54,4,62,39
ANKRD55,3,67,35
ANKRD6,9,72,24
ANKRD61,36,46,23
ANKRD62,5,37,63
ANKRD62P1-PARP4P3,3,73,29
ANKRD63,1,67,37
ANKRD65,3,74,28
ANKRD66,35,67,3
ANKRD7,48,56,1
ANKRD9,2,54,49
ANKS1A,17,66,22
ANKS1B,15,71,19
ANKS3,10,71,24
ANKS4B,10,74,21
ANKS6,15,79,11
ANKUB1,13,85,7
ANKZF1,26,76,3
ANLN,65,38,2
ANO1,11,88,6
ANO1-AS2,11,88,6
ANO10,9,88,8
ANO2,28,69,8
ANO3,17,83,5
ANO4,16,80,9
ANO5,16,86,3
ANO6,14,88,3
ANO7,21,82,2
ANO8,6,62,37
ANO9,21,79,5
ANP32A,0,72,33
ANP32A-IT1,0,72,33
ANP32AP1,0,63,42
ANP32B,15,79,11
ANP32C,3,79,23
ANP32D,12,82,11
ANP32E,15,55,35
ANPEP,1,63,41
ANTXR1,20,82,3
ANTXR2,6,85,14
ANTXRL,21,77,7
ANTXRLP1,21,77,7
ANXA1,17,79,9
ANXA10,3,78,24
ANXA11,2,86,17
ANXA13,54,48,3
ANXA2,2,70,33
ANXA2P1,3,77,25
ANXA2P2,17,78,10
ANXA2P3,4,85,16
ANXA2R,17,81,7
ANXA3,6,84,15
ANXA4,16,81,8
ANXA5,3,83,19
ANXA6,9,88,8
ANXA7,1,55,49
ANXA8,21,76,8
ANXA8L1,21,77,7
ANXA8L2,21,77,7
ANXA9,16,54,35
AOAH,65,39,1
AOAH-IT1,65,39,1
AOC1,52,51,2
AOC2,8,67,30
AOC3,8,67,30
AOC4P,8,67,30
AOX1,26,77,2
AOX2P,26,73,6
AP000289.6,3,79,23
AP000330.8,13,75,17
AP000344.3,5,73,27
AP000345.1,5,73,27
AP000469.2,4,73,28
AP000472.2,4,74,27
AP000475.2,4,74,27
AP000479.1,11,86,8
AP000688.14,3,63,39
AP000688.8,3,67,35
AP001258.4,26,72,7
AP001422.3,7,84,14
AP001465.5,11,74,20
AP003025.2,25,73,7
AP1AR,3,79,23
AP1B1,2,61,42
AP1B1P1,2,69,34
AP1G1,5,75,25
AP1G2,10,66,29
AP1M1,5,63,37
AP1M2,6,58,41
AP1S1,31,51,23
AP1S2,25,78,2
AP1S3,18,82,5
AP2A1,15,65,25
AP2A2,13,81,11
AP2B1,10,78,17
AP2M1,11,80,14
AP2S1,10,68,27
AP3B1,2,81,22
AP3B2,1,64,40
AP3D1,8,64,33
AP3M1,2,54,49
AP3M2,33,57,15
AP3S1,4,79,22
AP3S2,2,62,41
AP4B1,2,78,25
AP4B1-AS1,1,76,28
AP4E1,4,45,56
AP4M1,41,53,11
AP4S1,4,50,51
AP5B1,9,80,16
AP5M1,7,67,31
AP5S1,41,37,27
AP5Z1,39,45,21
APAF1,12,79,14
APBA1,14,81,10
APBA2,1,66,38
APBA3,7,52,46
APBB1,19,82,4
APBB1IP,5,80,20
APBB2,3,54,48
APBB3,9,81,15
APC,2,78,25
APC2,9,69,27
APCDD1,9,44,52
APCDD1L,73,32,0
APCDD1L-AS1,73,32,0
APCS,25,78,2
APEH,7,63,35
APELA,3,66,36
APEX1,9,63,33
APEX2,25,78,2
APH1A,15,55,35
APH1B,1,73,31
API5,16,86,3
APIP,36,66,3
APITD1,1,53,51
APITD1-CORT,1,53,51
APLF,19,83,3
APLN,25,78,2
APLNR,10,86,9
APLP1,15,62,28
APLP2,16,79,10
APMAP,60,38,7
APOA1,15,81,9
APOA1BP,24,73,8
APOA2,25,65,15
APOA4,15,81,9
APOA5,15,81,9
APOB,26,77,2
APOBEC1,10,43,52
APOBEC2,39,64,2
