,gain,neutral,loss
ADAMTSL4,24,71,0
ADAMTSL4-AS1,24,71,0
ADAMTSL5,1,87,7
ADAP1,9,82,4
ADAP2,3,82,10
ADAR,23,72,0
ADARB1,3,86,6
ADARB2,17,73,5
ADARB2-AS1,17,73,5
ADAT1,1,82,12
ADAT2,1,93,1
ADAT3,2,85,8
ADCK1,3,87,5
ADCK2,11,82,2
ADCK5,11,83,1
ADCY1,9,82,4
ADCY10,24,71,0
ADCY10P1,5,90,0
ADCY2,3,90,2
ADCY3,7,88,0
ADCY4,3,90,2
ADCY5,8,86,1
ADCY6,7,85,3
ADCY7,0,87,8
ADCY8,15,79,1
ADCY9,2,87,6
ADCYAP1,5,87,3
ADCYAP1R1,11,80,4
ADD1,3,87,5
ADD2,7,88,0
ADD3,17,73,5
ADD3-AS1,17,73,5
ADGB,1,93,1
ADGRA1,20,71,4
ADGRA1-AS1,20,71,4
ADGRA2,10,82,3
ADGRA3,1,86,8
ADGRB1,14,80,1
ADGRB2,3,86,6
ADGRB3,1,93,1
ADGRD1,4,85,6
ADGRD1-AS1,4,85,6
ADGRE1,2,86,7
ADGRE2,6,87,2
ADGRE3,6,87,2
ADGRE4P,2,86,7
ADGRE5,5,88,2
ADGRF1,5,90,0
ADGRF2,5,90,0
ADGRF3,8,87,0
ADGRF4,5,90,0
ADGRF5,5,90,0
ADGRG1,1,84,10
ADGRG2,4,77,14
ADGRG3,1,84,10
ADGRG4,5,75,15
ADGRG5,1,84,10
ADGRG6,1,92,2
ADGRG7,9,85,1
ADGRL1,5,88,2
ADGRL2,4,89,2
ADGRL3,2,86,7
ADGRL3-AS1,2,86,7
ADGRL4,5,88,2
ADGRV1,1,85,9
ADH1A,1,86,8
ADH1B,1,86,8
ADH1C,1,86,8
ADH4,1,86,8
ADH5,1,86,8
ADH6,1,86,8
ADH7,1,86,8
ADHFE1,14,80,1
ADI1,7,88,0
ADIG,7,87,1
ADIPOQ,9,85,1
ADIPOQ-AS1,9,85,1
ADIPOR1,25,68,2
ADIPOR2,9,85,1
ADIRF,18,73,4
ADK,17,76,2
ADM,2,83,10
ADM2,2,81,12
ADM5,4,85,6
ADNP,9,84,2
ADNP-AS1,9,84,2
ADNP2,1,88,6
ADO,18,72,5
ADORA1,25,68,2
ADORA2A,2,82,11
ADORA2A-AS1,2,82,11
ADORA2B,1,84,10
ADORA3,5,87,3
ADPGK,0,85,10
ADPGK-AS1,0,85,10
ADPRH,9,86,0
ADPRHL1,3,83,9
ADPRHL2,3,87,5
ADPRM,2,83,10
ADRA1A,9,80,6
ADRA1B,1,85,9
ADRA1D,10,83,2
ADRA2A,17,74,4
ADRA2B,6,89,0
ADRA2C,2,87,6
ADRB1,17,73,5
ADRB2,1,84,10
ADRB3,11,81,3
ADRM1,15,79,1
ADSL,3,81,11
ADSS,26,68,1
ADSSL1,3,87,5
ADTRP,6,88,1
AEBP1,9,82,4
AEBP2,6,88,1
AEN,0,86,9
AES,1,86,8
AFAP1,1,87,7
AFAP1-AS1,1,87,7
AFAP1L1,2,83,10
AFAP1L2,17,73,5
AFDN,2,91,2
AFDN-DT,2,91,2
AFF1,1,86,8
AFF1-AS1,1,86,8
AFF2,4,76,15
AFF3,5,90,0
AFF4,2,84,9
AFG1L,1,91,3
AFG3L1P,0,83,12
AFG3L2,5,87,3
AFM,3,86,6
AFMID,5,84,6
AFP,3,86,6
AFTPH,7,88,0
AGA,1,83,11
AGAP1,5,88,2
AGAP1-IT1,5,88,2
AGAP11,18,73,4
AGAP12P,17,75,3
AGAP2,5,87,3
AGAP2-AS1,5,87,3
AGAP3,11,82,2
AGAP4,17,75,3
AGAP5,17,76,2
AGAP6,17,75,3
AGAP7P,17,74,4
AGAP9,17,75,3
AGBL1,0,86,9
AGBL1-AS1,0,86,9
AGBL2,3,86,6
AGBL3,11,82,2
AGBL4,4,89,2
AGBL4-IT1,4,89,2
AGBL5,7,88,0
AGBL5-AS1,7,88,0
AGER,4,91,0
AGFG1,6,87,2
AGFG2,10,80,5
AGGF1,1,85,9
AGK,10,83,2
AGL,6,86,3
AGMAT,4,86,5
AGMO,11,80,4
AGO1,2,88,5
AGO2,14,80,1
AGO3,2,88,5
AGO4,2,88,5
AGPAT1,4,91,0
AGPAT2,2,80,13
AGPAT3,5,85,5
AGPAT4,1,92,2
AGPAT4-IT1,1,92,2
AGPAT5,8,81,6
AGPS,4,90,1
AGR2,11,80,4
AGR3,11,80,4
AGRN,3,87,5
AGRP,0,84,11
AGT,23,71,1
AGTPBP1,1,81,13
AGTR1,9,86,0
AGTR2,6,75,14
AGTRAP,3,87,5
AGXT,5,88,2
AGXT2,4,90,1
AHCTF1,23,71,1
AHCTF1P1,6,89,0
AHCY,11,83,1
AHCYL1,5,87,3
AHCYL2,11,82,2
AHDC1,3,86,6
AHI1,1,93,1
AHNAK,6,84,5
AHNAK2,3,87,5
AHR,12,79,4
AHRR,3,90,2
AHSA1,3,87,5
AHSA2P,7,88,0
AHSG,10,84,1
AHSP,0,89,6
AICDA,7,87,1
AIDA,23,70,2
AIF1,4,91,0
AIF1L,2,80,13
AIFM1,4,75,16
AIFM2,18,75,2
AIFM3,2,83,10
AIG1,1,93,1
AIM2,23,72,0
AIMP1,1,86,8
AIMP2,10,81,4
AIP,8,85,2
AIPL1,2,82,11
AIRE,4,86,5
AIRN,1,92,2
AJAP1,2,87,6
AJM1,2,81,12
AJUBA,4,89,2
AK1,3,82,10
AK2,3,86,6
AK3,2,84,9
AK4,3,89,3
AK5,4,89,2
AK6,1,90,4
AK7,1,89,5
AK8,2,80,13
AK9,1,91,3
AKAIN1,6,86,3
AKAP1,3,84,8
AKAP10,1,84,10
AKAP11,2,85,8
AKAP12,3,91,1
AKAP13,1,85,9
AKAP14,4,77,14
AKAP17A,4,78,13
AKAP2,1,82,12
AKAP3,8,86,1
AKAP4,4,81,10
AKAP5,3,88,4
AKAP6,4,90,1
AKAP7,1,92,2
AKAP8,7,85,3
AKAP8L,7,85,3
AKAP9,10,80,5
AKIP1,2,83,10
AKIRIN1,7,86,2
AKIRIN2,2,90,3
AKNA,1,82,12
AKNAD1,5,87,3
AKR1A1,6,87,2
AKR1B1,11,82,2
AKR1B10,11,82,2
AKR1B15,11,82,2
AKR1C1,18,74,3
AKR1C2,18,74,3
AKR1C3,18,74,3
AKR1C4,18,74,3
AKR1C6P,18,74,3
AKR1C8P,18,74,3
AKR1D1,11,82,2
AKR1E2,18,74,3
AKR7A2,3,86,6
AKR7A2P1,4,88,3
AKR7A3,3,86,6
AKR7L,3,86,6
AKT1,3,87,5
AKT1S1,2,86,7
AKT2,4,86,5
AKT3,9,86,0
AKTIP,0,86,9
ALAD,3,81,11
ALAS1,6,84,5
ALAS2,5,80,10
ALB,3,86,6
ALCAM,7,88,0
ALDH16A1,3,86,6
ALDH18A1,18,73,4
ALDH1A1,1,81,13
ALDH1A2,0,84,11
ALDH1A3,0,84,11
ALDH1B1,2,84,9
ALDH1L1,7,87,1
ALDH1L1-AS1,7,87,1
ALDH1L1-AS2,7,87,1
ALDH1L2,4,87,4
ALDH2,4,87,4
ALDH3A1,2,83,10
ALDH3A2,2,83,10
ALDH3B1,7,86,2
ALDH3B2,7,86,2
ALDH4A1,2,87,6
ALDH5A1,5,90,0
ALDH6A1,4,86,5
ALDH7A1,2,85,8
ALDH8A1,2,91,2
ALDH9A1,24,71,0
ALDOA,2,88,5
ALDOB,1,82,12
ALDOC,5,82,8
ALG1,3,86,6
ALG10,6,88,1
ALG10B,6,88,1
ALG11,1,85,9
ALG12,1,81,13
ALG13,5,76,14
ALG14,6,86,3
ALG1L,8,86,1
ALG1L2,7,88,0
ALG1L9P,5,86,4
ALG2,1,82,12
ALG3,9,85,1
ALG5,3,85,7
ALG6,3,90,2
ALG8,3,87,5
ALG9,1,88,6
ALK,7,88,0
ALKAL1,12,82,1
ALKAL2,7,88,0
ALKBH1,4,86,5
ALKBH2,5,86,4
ALKBH3,3,85,7
ALKBH3-AS1,3,85,7
ALKBH4,10,80,5
ALKBH5,1,86,8
ALKBH6,6,85,4
ALKBH7,2,87,6
ALKBH8,1,88,6
ALLC,7,88,0
ALMS1,7,88,0
ALMS1-IT1,7,88,0
ALMS1P1,7,88,0
ALOX12,2,82,11
ALOX12-AS1,2,82,11
ALOX12B,1,83,11
ALOX12P2,2,82,11
ALOX15,2,84,9
ALOX15B,1,83,11
ALOX15P1,2,82,11
ALOX5,18,74,3
ALOX5AP,4,85,6
ALOXE3,1,83,11
ALPG,5,87,3
ALPI,5,87,3
ALPK1,1,86,8
ALPK2,2,88,5
ALPK3,0,87,8
ALPL,3,87,5
ALPP,5,87,3
ALS2,4,89,2
ALS2CL,4,88,3
ALS2CR12,4,89,2
ALX1,4,87,4
ALX3,5,87,3
ALX4,3,85,7
ALYREF,8,81,6
AMACR,4,90,1
AMBN,2,87,6
AMBP,1,82,12
AMBRA1,6,84,5
AMD1,2,90,3
AMDHD1,4,87,4
AMDHD2,2,86,7
AMELX,4,77,14
AMELY,16,52,27
AMER1,4,79,12
AMER2,2,86,7
AMER3,6,89,0
AMFR,0,86,9
AMH,2,85,8
AMHR2,7,86,2
AMIGO1,6,86,3
AMIGO2,6,86,3
AMIGO3,5,86,4
AMMECR1,4,79,12
AMMECR1L,8,87,0
AMN,6,84,5
AMN1,7,88,0
AMOT,4,77,14
AMOTL1,2,87,6
AMOTL2,7,88,0
AMPD1,4,88,3
AMPD2,7,85,3
AMPD3,2,83,10
AMPH,10,81,4
AMT,4,87,4
AMTN,2,87,6
AMY1A,5,87,3
AMY1B,5,87,3
AMY1C,5,87,3
AMY2A,5,87,3
AMY2B,5,87,3
AMZ1,9,82,4
AMZ2,4,84,7
AMZ2P1,4,84,7
ANAPC1,6,88,1
ANAPC10,2,84,9
ANAPC11,8,81,6
ANAPC13,7,88,0
ANAPC15,4,87,4
ANAPC16,18,75,2
ANAPC1P1,6,89,0
ANAPC2,4,80,11
ANAPC4,1,86,8
ANAPC5,4,86,5
ANAPC7,4,87,4
ANG,5,88,2
ANGEL1,4,86,5
ANGEL2,22,69,4
ANGPT1,14,80,1
ANGPT2,8,81,6
ANGPT4,9,84,2
ANGPTL1,24,71,0
ANGPTL2,2,81,12
ANGPTL3,3,90,2
ANGPTL4,3,88,4
ANGPTL5,2,88,5
ANGPTL6,5,87,3
ANGPTL7,3,89,3
ANGPTL8,6,87,2
ANHX,5,84,6
ANK1,11,82,2
ANK2,1,86,8
ANK3,18,74,3
ANKAR,4,90,1
ANKDD1A,2,83,10
ANKDD1B,1,85,9
ANKEF1,7,87,1
ANKFN1,3,84,8
ANKFY1,3,83,9
ANKH,5,89,1
ANKHD1,3,83,9
ANKHD1-EIF4EBP3,3,83,9
ANKIB1,10,80,5
ANKK1,1,88,6
ANKLE1,8,84,3
ANKLE2,4,85,6
ANKMY1,5,88,2
ANKMY2,11,80,4
ANKRA2,1,85,9
ANKRD1,16,75,4
ANKRD10,3,83,9
ANKRD11,1,83,11
ANKRD12,6,86,3
ANKRD13A,4,87,4
ANKRD13B,4,81,10
ANKRD13C,3,90,2
ANKRD13D,8,85,2
ANKRD16,18,74,3
ANKRD17,2,87,6
ANKRD18A,2,84,9
ANKRD18B,3,85,7
ANKRD18CP,1,82,12
ANKRD18DP,3,91,1
ANKRD19P,1,82,12
ANKRD2,18,73,4
ANKRD20A1,1,82,12
ANKRD20A11P,2,86,7
ANKRD20A12P,0,95,0
ANKRD20A19P,2,85,8
ANKRD20A2,1,83,11
ANKRD20A3,1,83,11
ANKRD20A4,1,82,12
ANKRD20A4-ANKRD20A20P,1,82,12
ANKRD20A5P,4,88,3
ANKRD20A8P,6,89,0
ANKRD20A9P,1,86,8
ANKRD22,16,75,4
ANKRD23,7,88,0
ANKRD24,1,86,8
ANKRD26,18,73,4
ANKRD26P1,0,88,7
ANKRD26P3,2,85,8
ANKRD27,7,85,3
ANKRD28,1,89,5
ANKRD29,4,87,4
ANKRD30A,18,74,3
ANKRD30B,3,89,3
ANKRD30BL,6,89,0
ANKRD30BP2,2,86,7
ANKRD30BP3,17,75,3
ANKRD31,1,85,9
ANKRD33,7,86,2
ANKRD33B,3,91,1
ANKRD34A,24,71,0
ANKRD34B,2,85,8
ANKRD34C,0,85,10
ANKRD34C-AS1,0,85,10
ANKRD35,24,71,0
ANKRD36,7,88,0
ANKRD36B,6,89,0
ANKRD36BP1,24,71,0
ANKRD36BP2,6,89,0
ANKRD36C,6,89,0
ANKRD37,1,83,11
ANKRD39,7,88,0
ANKRD40,7,80,8
ANKRD40CL,6,81,8
ANKRD42,3,88,4
ANKRD44,4,89,2
ANKRD44-IT1,4,89,2
ANKRD45,24,71,0
ANKRD46,18,76,1
ANKRD49,2,87,6
ANKRD50,1,85,9
ANKRD52,11,83,1
ANKRD53,7,88,0
ANKRD54,3,83,9
ANKRD55,2,86,7
ANKRD6,1,91,3
ANKRD60,12,82,1
ANKRD61,10,81,4
ANKRD62,5,87,3
ANKRD62P1-PARP4P3,1,83,11
ANKRD63,0,80,15
ANKRD65,5,86,4
ANKRD66,5,90,0
ANKRD7,10,82,3
ANKRD9,5,85,5
ANKS1A,4,91,0
ANKS1B,4,87,4
ANKS3,3,86,6
ANKS4B,2,87,6
ANKS6,1,82,12
ANKUB1,9,86,0
ANKZF1,4,89,2
ANLN,10,81,4
ANO1,9,84,2
ANO10,2,89,4
ANO2,8,86,1
ANO3,2,84,9
ANO4,4,89,2
ANO5,2,84,9
ANO6,6,86,3
ANO7,4,88,3
ANO8,8,84,3
ANO9,2,84,9
ANOS1,4,77,14
ANP32A,0,85,10
ANP32A-IT1,0,85,10
ANP32AP1,1,82,12
ANP32B,1,82,12
ANP32C,2,83,10
ANP32D,6,86,3
ANP32E,23,72,0
ANPEP,0,86,9
ANTXR1,6,89,0
ANTXR2,3,85,7
ANTXRL,17,74,4
ANTXRLP1,17,74,4
ANXA1,1,82,12
ANXA10,2,83,10
ANXA11,17,76,2
ANXA13,16,78,1
ANXA2,0,84,11
ANXA2P1,1,84,10
ANXA2P2,4,85,6
ANXA2P3,19,72,4
ANXA2R,3,91,1
ANXA3,3,86,6
ANXA4,7,88,0
ANXA5,1,85,9
ANXA6,1,84,10
ANXA7,17,76,2
ANXA8,17,75,3
ANXA8L1,17,74,4
ANXA9,26,69,0
AOAH,10,81,4
AOAH-IT1,10,81,4
AOC1,11,82,2
AOC2,2,83,10
AOC3,2,83,10
AOC4P,1,84,10
AOX1,4,89,2
AOX3P-AOX2P,4,89,2
AP1AR,1,86,8
AP1B1,2,82,11
AP1B1P1,2,81,12
AP1G1,0,83,12
AP1G2,3,90,2
AP1M1,8,84,3
AP1M2,7,85,3
AP1S1,10,80,5
AP1S2,4,77,14
AP1S3,5,88,2
AP2A1,3,86,6
AP2A2,2,83,10
AP2B1,1,84,10
AP2M1,9,85,1
AP2S1,2,86,7
AP3B1,1,85,9
AP3B2,0,85,10
AP3D1,2,85,8
AP3M1,17,76,2
AP3M2,10,83,2
AP3S1,1,85,9
AP3S2,0,86,9
AP4B1,5,87,3
AP4B1-AS1,5,87,3
AP4E1,0,84,11
AP4M1,11,79,5
AP4S1,4,90,1
AP5B1,5,88,2
AP5M1,2,91,2
AP5S1,9,84,2
AP5Z1,10,81,4
APAF1,4,87,4
APBA1,1,84,10
APBA2,1,84,10
APBA3,1,86,8
APBB1,2,83,10
APBB1IP,18,73,4
APBB2,3,84,8
APBB3,3,83,9
APC,1,85,9
APC2,2,86,7
APCDD1,5,87,3
APCDD1L,12,82,1
APCDD1L-DT,12,82,1
APCS,23,72,0
APEH,3,88,4
APELA,2,83,10
APEX1,4,89,2
APEX2,5,80,10
APH1A,23,72,0
APH1B,0,84,11
API5,3,85,7
APIP,5,84,6
APLF,6,89,0
APLN,5,75,15
APLNR,3,86,6
APLP1,6,85,4
APLP2,1,89,5
APMAP,8,86,1
APOA1,2,87,6
APOA1-AS,2,87,6
APOA2,24,71,0
APOA4,2,87,6
APOA5,2,87,6
APOB,9,86,0
APOBEC1,7,87,1
APOBEC2,5,90,0
APOBEC3A,1,84,10
APOBEC3A_B,1,84,10
APOBEC3B,1,83,11
APOBEC3B-AS1,1,84,10
APOBEC3C,1,83,11
APOBEC3D,1,83,11
APOBEC3F,1,83,11
APOBEC3G,1,83,11
APOBEC3H,1,83,11
APOBEC4,24,70,1
APOBR,3,88,4
APOC1,3,85,7
APOC1P1,3,85,7
APOC2,3,85,7
APOC3,2,87,6
APOC4,3,85,7
APOC4-APOC2,3,85,7
APOD,9,85,1
APOE,5,83,7
APOF,11,83,1
APOH,4,84,7
APOL1,1,82,12
APOL2,1,82,12
APOL3,1,82,12
APOL4,1,82,12
APOL5,1,83,11
APOL6,1,83,11
APOLD1,7,87,1
APOM,4,91,0
APOO,4,77,14
APOOL,6,77,12
APOOP5,1,84,10
APOPT1,7,83,5
APP,4,85,6
APPBP2,4,84,7
APPL1,3,87,5
APPL2,4,87,4
APRT,0,85,10
APTR,10,80,5
APTX,4,83,8
AQP1,11,80,4
AQP10,24,71,0
AQP11,3,87,5
AQP12A,5,88,2
AQP12B,5,88,2
AQP2,7,85,3
AQP3,3,85,7
AQP4,4,87,4
AQP4-AS1,4,87,4
AQP5,7,85,3
AQP6,7,85,3
AQP7,3,85,7
AQP7P1,1,84,10
AQP7P3,1,83,11
AQP8,0,88,7
AQP9,0,84,11
AQR,1,82,12
AR,4,80,11
ARAF,4,81,10
ARAP1,5,86,4
ARAP1-AS2,5,86,4
ARAP2,2,84,9
ARAP3,1,85,9
ARC,13,81,1
ARCN1,2,89,4
AREG,2,87,6
AREL1,3,87,5
ARF1,24,70,1
ARF3,7,85,3
ARF4,3,87,5
ARF4-AS1,3,87,5
ARF5,11,82,2
ARF6,3,90,2
ARFGAP1,13,81,1
ARFGAP2,4,85,6
ARFGAP3,1,82,12
ARFGEF1,14,80,1
ARFGEF2,9,84,2
ARFGEF3,1,92,2
ARFIP1,1,84,10
ARFIP2,2,83,10
ARFRP1,13,81,1
ARG1,1,92,2
ARG2,1,90,4
ARGFX,8,87,0
ARGFXP2,2,83,10
ARGLU1,4,82,9
ARHGAP1,6,84,5
ARHGAP10,1,84,10
ARHGAP11A,1,83,11
ARHGAP11B,1,84,10
ARHGAP12,18,73,4
ARHGAP15,6,89,0
ARHGAP17,0,88,7
ARHGAP18,1,92,2
ARHGAP19,19,72,4
ARHGAP19-SLIT1,19,72,4
ARHGAP20,1,88,6
ARHGAP21,18,73,4
ARHGAP22,17,75,3
ARHGAP22-IT1,17,75,3
ARHGAP23,1,87,7
ARHGAP24,2,85,8
ARHGAP25,6,89,0
ARHGAP26,1,85,9
ARHGAP26-AS1,1,85,9
ARHGAP26-IT1,1,85,9
ARHGAP27,2,86,7
ARHGAP27P1,6,84,5
ARHGAP27P1-BPTFP1-KPNA2P3,6,84,5
ARHGAP27P2,4,84,7
ARHGAP28,8,84,3
ARHGAP29,5,87,3
ARHGAP30,25,70,0
ARHGAP31,8,87,0
ARHGAP31-AS1,8,87,0
ARHGAP32,1,88,6
ARHGAP33,6,85,4
ARHGAP35,2,86,7
ARHGAP36,4,76,15
ARHGAP39,12,82,1
ARHGAP4,6,74,15
ARHGAP40,7,87,1
ARHGAP42,2,88,5
ARHGAP44,1,84,10
ARHGAP45,1,87,7
ARHGAP5,3,91,1
ARHGAP5-AS1,3,91,1
ARHGAP6,4,77,14
ARHGAP8,1,81,13
ARHGAP9,6,86,3
ARHGDIA,8,81,6
ARHGDIB,7,87,1
ARHGDIG,3,87,5
ARHGEF1,3,87,5
ARHGEF10,8,81,6
ARHGEF10L,2,87,6
ARHGEF11,23,72,0
ARHGEF12,1,89,5
