Name,amplifications,neutral,deletions,average
DPT,27.0,68.0,5.0,0.19705899999999998
DPY19L1,11.0,73.0,16.0,0.05555104843506003
DPY19L2,11.0,78.0,11.0,0.04405640532482205
DPY19L3,17.0,66.0,17.0,0.08043637562808392
DPY19L4,41.0,51.0,8.0,0.24320374074809986
DPY30,24.0,63.0,13.0,0.11315815015588009
DPYS,52.0,38.0,10.0,0.33873243673474007
DPYSL2,4.0,33.0,63.0,-0.3386511360794099
DPYSL3,6.0,75.0,19.0,-0.012312318269079999
DPYSL4,11.0,70.0,19.0,-0.030616558935857987
DPYSL5,19.0,71.0,10.0,0.11092332136506508
DQX1,22.0,73.0,5.0,0.16241511986398
DR1,7.0,81.0,12.0,0.026260000000000002
DRAM1,3.0,75.0,22.0,-0.06140217798128739
DRAM2,9.0,80.0,11.0,0.09259388880178618
DRAP1,21.0,76.0,3.0,0.16403733252365998
DRAXIN,9.0,65.0,26.0,-0.016714999999999848
DRC1,20.0,70.0,10.0,0.10908234280604909
DRD1,12.0,61.0,27.0,0.011992999999999997
DRD2,12.0,66.0,22.0,0.0029349999999999992
DRD3,32.0,58.0,10.0,0.1923049999999999
DRD4,8.0,48.0,44.0,-0.12501599999999996
DRD5,10.0,56.0,34.0,-0.06623099999999991
DRG1,2.0,42.0,56.0,-0.21287797378107456
DRG2,2.0,27.0,71.0,-0.3368923045104049
DRGX,9.0,86.0,5.0,0.068199131380433
DROSHA,21.0,71.0,8.0,0.15727227730548998
DSC1,15.0,57.0,28.0,0.016079017426697005
DSC2,15.0,57.0,28.0,0.016737383562140006
DSC3,14.0,58.0,28.0,0.015740240016470012
DSCAM,8.0,55.0,37.0,-0.1391256583709351
DSCAML1,10.0,65.0,25.0,-0.033700296174720694
DSCC1,61.0,32.0,7.0,0.38961778296987004
DSCR4,8.0,57.0,35.0,-0.09971600000000015
DSE,9.0,55.0,36.0,-0.0564389999999998
DSEL,6.0,42.0,52.0,-0.19273899999999994
DSG1,14.0,56.0,30.0,0.004097287147670012
DSG2,13.0,55.0,32.0,-0.026745693258367984
DSG3,13.0,55.0,32.0,-0.025215208632359997
DSG4,13.0,56.0,31.0,-0.01368496979802098
DSN1,31.0,63.0,6.0,0.2142132147605601
DSP,31.0,52.0,17.0,0.14036000000000007
DSPP,3.0,52.0,45.0,-0.18469999999999984
DST,17.0,72.0,11.0,0.09631292144537099
DSTN,25.0,63.0,12.0,0.12586260934149
DSTYK,21.0,73.0,6.0,0.140926
DTD1,25.0,64.0,11.0,0.13368200000000002
DTD2,8.0,61.0,31.0,-0.0631090000000001
DTHD1,9.0,59.0,32.0,-0.04745845485914396
